"","P46","01","A","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","436","459","1175","1241","1319","1573","1739","1852","1881","1912","1962","2127","2200","2464","Byz","K","L","P","Lect","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo","slav"
"P46",0,0.469,0.684,0.382,0.618,0.529,0.559,0.647,0.677,0.606,0.424,0.676,0.5,0.618,0.618,0.706,0.735,0.706,0.676,0.647,0.647,0.545,0.706,0.781,0.706,0.412,0.676,0.5,0.618,0.515,0.735,0.576,0.688,0.7,0.727,0.697,0.667,0.677,0.676,0.613,0.545,0.647,0.529,0.529,0.581,0.586,0.593,0.31,0.484,0.606,0.636,0.714,0.727
"01",0.469,0,0.238,0.474,0.605,0.474,0.421,0.5,0.6,0.486,0.378,0.579,0.189,0.368,0.605,0.447,0.622,0.5,0.632,0.579,0.605,0.432,0.579,0.486,0.421,0.395,0.658,0.395,0.658,0.432,0.447,0.676,0.556,0.559,0.622,0.676,0.541,0.6,0.684,0.529,0.568,0.447,0.447,0.605,0.514,0.545,0.613,0.353,0.314,0.611,0.423,0.577,0.622
"A",0.684,0.238,0,0.565,0.522,0.478,0.391,0.348,0.556,0.455,0.478,0.478,0.304,0.391,0.522,0.391,0.522,0.435,0.522,0.565,0.478,0.522,0.478,0.381,0.348,0.478,0.652,0.565,0.609,0.5,0.348,0.609,0.545,0.476,0.455,0.591,0.5,0.565,0.609,0.476,0.522,0.565,0.565,0.609,0.545,0.45,0.579,0.429,0.476,0.545,0.438,0.562,0.636
"B",0.382,0.474,0.565,0,0.6,0.55,0.55,0.7,0.714,0.564,0.41,0.625,0.359,0.375,0.525,0.45,0.615,0.5,0.625,0.6,0.55,0.385,0.65,0.541,0.5,0.4,0.675,0.45,0.55,0.385,0.5,0.667,0.526,0.639,0.692,0.59,0.513,0.649,0.575,0.556,0.59,0.6,0.625,0.55,0.541,0.657,0.667,0.314,0.378,0.579,0.556,0.593,0.641
"D",0.618,0.605,0.522,0.6,0,0.425,0.375,0.475,0.486,0.59,0.641,0.525,0.667,0.575,0.55,0.575,0.59,0.55,0.525,0.625,0.55,0.667,0.525,0.595,0.625,0.625,0.55,0.6,0.6,0.513,0.55,0.615,0.553,0.472,0.538,0.436,0.564,0.432,0.425,0.417,0.256,0.5,0.375,0.425,0.514,0.514,0.515,0.543,0.622,0.632,0.407,0.556,0.615
"F",0.529,0.474,0.478,0.55,0.425,0,0.05,0.575,0.6,0.513,0.564,0.525,0.564,0.525,0.55,0.55,0.59,0.6,0.55,0.65,0.55,0.615,0.525,0.595,0.55,0.525,0.6,0.65,0.65,0.564,0.55,0.641,0.605,0.528,0.59,0.513,0.615,0.486,0.475,0.389,0.41,0.375,0.2,0.425,0.514,0.457,0.515,0.514,0.486,0.605,0.37,0.63,0.564
"G",0.559,0.421,0.391,0.55,0.375,0.05,0,0.575,0.571,0.513,0.538,0.475,0.513,0.475,0.5,0.5,0.538,0.55,0.55,0.65,0.5,0.615,0.525,0.541,0.5,0.5,0.55,0.6,0.65,0.513,0.5,0.615,0.553,0.5,0.564,0.487,0.59,0.486,0.475,0.389,0.41,0.375,0.2,0.475,0.514,0.457,0.455,0.514,0.486,0.605,0.407,0.667,0.59
"044",0.647,0.5,0.348,0.7,0.475,0.575,0.575,0,0.229,0.256,0.462,0.325,0.564,0.45,0.375,0.325,0.256,0.275,0.225,0.325,0.325,0.462,0.25,0.297,0.325,0.475,0.275,0.4,0.4,0.385,0.3,0.333,0.316,0.139,0.205,0.282,0.231,0.216,0.55,0.5,0.513,0.5,0.575,0.475,0.459,0.286,0.303,0.486,0.459,0.342,0.333,0.222,0.333
"075",0.677,0.6,0.556,0.714,0.486,0.6,0.571,0.229,0,0.235,0.588,0.314,0.559,0.486,0.4,0.314,0.265,0.257,0.143,0.343,0.343,0.5,0.143,0.281,0.314,0.6,0.229,0.4,0.229,0.412,0.286,0.294,0.424,0.065,0.118,0.206,0.265,0.094,0.543,0.516,0.588,0.514,0.571,0.514,0.531,0.333,0.25,0.581,0.562,0.424,0.609,0.217,0.265
"0150",0.606,0.486,0.455,0.564,0.59,0.513,0.513,0.256,0.235,0,0.553,0.359,0.474,0.41,0.333,0.308,0.237,0.256,0.205,0.436,0.282,0.526,0.154,0.306,0.256,0.564,0.282,0.41,0.333,0.342,0.282,0.395,0.342,0.167,0.184,0.263,0.158,0.194,0.538,0.571,0.605,0.564,0.538,0.41,0.568,0.371,0.281,0.5,0.472,0.324,0.423,0.231,0.289
"0243",0.424,0.378,0.478,0.41,0.641,0.564,0.538,0.462,0.588,0.553,0,0.41,0.342,0.436,0.436,0.41,0.474,0.462,0.513,0.462,0.462,0.282,0.538,0.444,0.436,0.026,0.538,0.231,0.513,0.342,0.41,0.368,0.405,0.486,0.553,0.553,0.447,0.528,0.641,0.6,0.579,0.462,0.564,0.615,0.459,0.471,0.5,0.353,0.417,0.486,0.556,0.462,0.5
"6",0.676,0.579,0.478,0.625,0.525,0.525,0.475,0.325,0.314,0.359,0.41,0,0.538,0.45,0.25,0.3,0.205,0.25,0.275,0.325,0.25,0.462,0.275,0.189,0.35,0.425,0.3,0.275,0.325,0.333,0.275,0.282,0.316,0.222,0.308,0.256,0.282,0.216,0.575,0.5,0.538,0.55,0.6,0.55,0.568,0.286,0.273,0.514,0.568,0.395,0.519,0.37,0.333
"33",0.5,0.189,0.304,0.359,0.667,0.564,0.513,0.564,0.559,0.474,0.342,0.538,0,0.308,0.538,0.41,0.615,0.462,0.641,0.538,0.538,0.342,0.538,0.459,0.41,0.359,0.641,0.333,0.538,0.421,0.41,0.553,0.486,0.571,0.632,0.605,0.5,0.611,0.667,0.514,0.579,0.564,0.538,0.615,0.5,0.618,0.531,0.324,0.417,0.568,0.538,0.538,0.579
"81",0.618,0.368,0.391,0.375,0.575,0.525,0.475,0.45,0.486,0.41,0.436,0.45,0.308,0,0.4,0.2,0.436,0.225,0.5,0.45,0.4,0.282,0.475,0.216,0.25,0.45,0.5,0.375,0.475,0.308,0.225,0.513,0.289,0.417,0.487,0.41,0.333,0.459,0.5,0.528,0.564,0.5,0.525,0.5,0.486,0.543,0.545,0.4,0.351,0.526,0.481,0.407,0.436
"104",0.618,0.605,0.522,0.525,0.55,0.55,0.5,0.375,0.4,0.333,0.436,0.25,0.538,0.4,0,0.35,0.231,0.3,0.325,0.25,0.05,0.41,0.375,0.324,0.4,0.45,0.3,0.375,0.3,0.308,0.375,0.41,0.237,0.306,0.359,0.256,0.256,0.351,0.55,0.528,0.538,0.6,0.575,0.5,0.595,0.429,0.333,0.486,0.486,0.421,0.407,0.37,0.333
"256",0.706,0.447,0.391,0.45,0.575,0.55,0.5,0.325,0.314,0.308,0.41,0.3,0.41,0.2,0.35,0,0.256,0.05,0.35,0.35,0.3,0.256,0.325,0.054,0.05,0.425,0.35,0.35,0.375,0.256,0.05,0.41,0.289,0.25,0.333,0.256,0.154,0.297,0.55,0.583,0.615,0.45,0.6,0.55,0.432,0.429,0.455,0.4,0.324,0.395,0.481,0.259,0.282
"263",0.735,0.622,0.522,0.615,0.59,0.59,0.538,0.256,0.265,0.237,0.474,0.205,0.615,0.436,0.231,0.256,0,0.205,0.179,0.256,0.179,0.474,0.205,0.189,0.256,0.487,0.179,0.359,0.282,0.316,0.282,0.316,0.189,0.114,0.184,0.158,0.132,0.194,0.59,0.571,0.632,0.487,0.615,0.513,0.5,0.324,0.312,0.588,0.472,0.351,0.538,0.231,0.211
"365",0.706,0.5,0.435,0.5,0.55,0.6,0.55,0.275,0.257,0.256,0.462,0.25,0.462,0.225,0.3,0.05,0.205,0,0.3,0.3,0.25,0.308,0.275,0.054,0.1,0.475,0.3,0.3,0.325,0.256,0.075,0.359,0.237,0.194,0.282,0.205,0.103,0.243,0.5,0.528,0.564,0.45,0.625,0.5,0.432,0.429,0.424,0.4,0.378,0.368,0.444,0.222,0.231
"424",0.676,0.632,0.522,0.625,0.525,0.55,0.55,0.225,0.143,0.205,0.513,0.275,0.641,0.5,0.325,0.35,0.179,0.3,0,0.3,0.275,0.513,0.1,0.324,0.35,0.525,0.175,0.375,0.2,0.385,0.325,0.308,0.316,0.028,0.103,0.154,0.231,0.054,0.575,0.583,0.59,0.475,0.625,0.525,0.514,0.314,0.273,0.6,0.541,0.395,0.556,0.148,0.205
"436",0.647,0.579,0.565,0.6,0.625,0.65,0.65,0.325,0.343,0.436,0.462,0.325,0.538,0.45,0.25,0.35,0.256,0.3,0.3,0,0.2,0.308,0.4,0.324,0.4,0.475,0.375,0.375,0.275,0.436,0.375,0.359,0.316,0.306,0.385,0.282,0.282,0.351,0.575,0.556,0.59,0.525,0.625,0.525,0.514,0.371,0.424,0.457,0.459,0.395,0.444,0.296,0.282
"459",0.647,0.605,0.478,0.55,0.55,0.55,0.5,0.325,0.343,0.282,0.462,0.25,0.538,0.4,0.05,0.3,0.179,0.25,0.275,0.2,0,0.41,0.325,0.27,0.35,0.475,0.3,0.4,0.25,0.333,0.325,0.359,0.237,0.25,0.308,0.205,0.205,0.297,0.575,0.556,0.564,0.575,0.575,0.475,0.568,0.371,0.333,0.429,0.432,0.368,0.407,0.296,0.282
"1175",0.545,0.432,0.522,0.385,0.667,0.615,0.615,0.462,0.5,0.526,0.282,0.462,0.342,0.282,0.41,0.256,0.474,0.308,0.513,0.308,0.41,0,0.564,0.306,0.308,0.308,0.564,0.359,0.41,0.316,0.308,0.395,0.405,0.486,0.553,0.474,0.395,0.528,0.615,0.657,0.632,0.487,0.615,0.615,0.459,0.441,0.531,0.324,0.361,0.459,0.519,0.346,0.421
"1241",0.706,0.579,0.478,0.65,0.525,0.525,0.525,0.25,0.143,0.154,0.538,0.275,0.538,0.475,0.375,0.325,0.205,0.275,0.1,0.4,0.325,0.564,0,0.297,0.275,0.55,0.175,0.375,0.2,0.436,0.3,0.359,0.342,0.028,0.154,0.154,0.231,0.054,0.55,0.528,0.564,0.475,0.6,0.475,0.514,0.314,0.242,0.629,0.568,0.395,0.556,0.148,0.179
"1319",0.781,0.486,0.381,0.541,0.595,0.595,0.541,0.297,0.281,0.306,0.444,0.189,0.459,0.216,0.324,0.054,0.189,0.054,0.324,0.324,0.27,0.306,0.297,0,0.108,0.459,0.324,0.351,0.351,0.278,0.081,0.361,0.257,0.212,0.278,0.25,0.139,0.265,0.568,0.576,0.611,0.514,0.622,0.541,0.5,0.406,0.4,0.469,0.412,0.429,0.52,0.28,0.278
"1573",0.706,0.421,0.348,0.5,0.625,0.55,0.5,0.325,0.314,0.256,0.436,0.35,0.41,0.25,0.4,0.05,0.256,0.1,0.35,0.4,0.35,0.308,0.275,0.108,0,0.45,0.35,0.4,0.425,0.308,0.1,0.41,0.342,0.25,0.333,0.308,0.205,0.324,0.55,0.583,0.667,0.45,0.6,0.55,0.432,0.4,0.424,0.429,0.351,0.342,0.519,0.222,0.231
"1739",0.412,0.395,0.478,0.4,0.625,0.525,0.5,0.475,0.6,0.564,0.026,0.425,0.359,0.45,0.45,0.425,0.487,0.475,0.525,0.475,0.475,0.308,0.55,0.459,0.45,0,0.55,0.25,0.525,0.359,0.425,0.385,0.421,0.5,0.564,0.564,0.462,0.541,0.65,0.583,0.564,0.475,0.525,0.625,0.459,0.457,0.455,0.343,0.378,0.474,0.519,0.481,0.513
"1852",0.676,0.658,0.652,0.675,0.55,0.6,0.55,0.275,0.229,0.282,0.538,0.3,0.641,0.5,0.3,0.35,0.179,0.3,0.175,0.375,0.3,0.564,0.175,0.324,0.35,0.55,0,0.4,0.275,0.462,0.375,0.385,0.289,0.111,0.205,0.154,0.231,0.162,0.55,0.472,0.487,0.475,0.6,0.575,0.514,0.343,0.182,0.686,0.568,0.447,0.63,0.222,0.256
"1881",0.5,0.395,0.565,0.45,0.6,0.65,0.6,0.4,0.4,0.41,0.231,0.275,0.333,0.375,0.375,0.35,0.359,0.3,0.375,0.375,0.4,0.359,0.375,0.351,0.4,0.25,0.4,0,0.325,0.282,0.325,0.41,0.289,0.333,0.41,0.41,0.333,0.378,0.575,0.528,0.538,0.475,0.625,0.575,0.486,0.486,0.455,0.429,0.432,0.5,0.519,0.37,0.385
"1912",0.618,0.658,0.609,0.55,0.6,0.65,0.65,0.4,0.229,0.333,0.513,0.325,0.538,0.475,0.3,0.375,0.282,0.325,0.2,0.275,0.25,0.41,0.2,0.351,0.425,0.525,0.275,0.325,0,0.487,0.4,0.41,0.368,0.194,0.256,0.205,0.282,0.189,0.6,0.611,0.59,0.575,0.675,0.55,0.568,0.429,0.394,0.6,0.568,0.5,0.63,0.222,0.282
"1962",0.515,0.432,0.5,0.385,0.513,0.564,0.513,0.385,0.412,0.342,0.342,0.333,0.421,0.308,0.308,0.256,0.316,0.256,0.385,0.436,0.333,0.316,0.436,0.278,0.308,0.359,0.462,0.282,0.487,0,0.256,0.395,0.27,0.343,0.368,0.395,0.289,0.389,0.564,0.629,0.605,0.487,0.564,0.538,0.5,0.471,0.469,0.294,0.278,0.432,0.423,0.308,0.395
"2127",0.735,0.447,0.348,0.5,0.55,0.55,0.5,0.3,0.286,0.282,0.41,0.275,0.41,0.225,0.375,0.05,0.282,0.075,0.325,0.375,0.325,0.308,0.3,0.081,0.1,0.425,0.375,0.325,0.4,0.256,0,0.385,0.316,0.222,0.308,0.282,0.179,0.27,0.525,0.556,0.59,0.45,0.575,0.525,0.432,0.4,0.424,0.4,0.378,0.368,0.444,0.296,0.308
"2200",0.576,0.676,0.609,0.667,0.615,0.641,0.615,0.333,0.294,0.395,0.368,0.282,0.553,0.513,0.41,0.41,0.316,0.359,0.308,0.359,0.359,0.395,0.359,0.361,0.41,0.385,0.385,0.41,0.41,0.395,0.385,0,0.395,0.286,0.316,0.368,0.342,0.306,0.641,0.629,0.684,0.59,0.667,0.59,0.556,0.294,0.281,0.5,0.556,0.351,0.654,0.346,0.342
"2464",0.688,0.556,0.545,0.526,0.553,0.605,0.553,0.316,0.424,0.342,0.405,0.316,0.486,0.289,0.237,0.289,0.189,0.237,0.316,0.316,0.237,0.405,0.342,0.257,0.342,0.421,0.289,0.289,0.368,0.27,0.316,0.395,0,0.286,0.297,0.216,0.189,0.314,0.632,0.559,0.568,0.5,0.605,0.553,0.528,0.471,0.452,0.515,0.429,0.333,0.52,0.28,0.297
"Byz",0.7,0.559,0.476,0.639,0.472,0.528,0.5,0.139,0.065,0.167,0.486,0.222,0.571,0.417,0.306,0.25,0.114,0.194,0.028,0.306,0.25,0.486,0.028,0.212,0.25,0.5,0.111,0.333,0.194,0.343,0.222,0.286,0.286,0,0.083,0.111,0.167,0.029,0.528,0.531,0.543,0.417,0.583,0.472,0.457,0.281,0.207,0.581,0.515,0.382,0.5,0.16,0.194
"K",0.727,0.622,0.455,0.692,0.538,0.59,0.564,0.205,0.118,0.184,0.553,0.308,0.632,0.487,0.359,0.333,0.184,0.282,0.103,0.385,0.308,0.553,0.154,0.278,0.333,0.564,0.205,0.41,0.256,0.368,0.308,0.316,0.297,0.083,0,0.205,0.231,0.111,0.59,0.6,0.605,0.513,0.641,0.564,0.556,0.412,0.312,0.618,0.583,0.432,0.556,0.259,0.308
"L",0.697,0.676,0.591,0.59,0.436,0.513,0.487,0.282,0.206,0.263,0.553,0.256,0.605,0.41,0.256,0.256,0.158,0.205,0.154,0.282,0.205,0.474,0.154,0.25,0.308,0.564,0.154,0.41,0.205,0.395,0.282,0.368,0.216,0.111,0.205,0,0.154,0.056,0.59,0.571,0.526,0.487,0.564,0.538,0.528,0.353,0.25,0.618,0.5,0.378,0.519,0.222,0.231
"P",0.667,0.541,0.5,0.513,0.564,0.615,0.59,0.231,0.265,0.158,0.447,0.282,0.5,0.333,0.256,0.154,0.132,0.103,0.231,0.282,0.205,0.395,0.231,0.139,0.205,0.462,0.231,0.333,0.282,0.289,0.179,0.342,0.189,0.167,0.231,0.154,0,0.194,0.615,0.6,0.605,0.538,0.615,0.487,0.528,0.382,0.344,0.5,0.389,0.324,0.444,0.222,0.282
"Lect",0.677,0.6,0.565,0.649,0.432,0.486,0.486,0.216,0.094,0.194,0.528,0.216,0.611,0.459,0.351,0.297,0.194,0.243,0.054,0.351,0.297,0.528,0.054,0.265,0.324,0.541,0.162,0.378,0.189,0.389,0.27,0.306,0.314,0.029,0.111,0.056,0.194,0,0.568,0.576,0.556,0.459,0.568,0.514,0.514,0.281,0.2,0.625,0.559,0.4,0.542,0.192,0.222
"it-ar",0.676,0.684,0.609,0.575,0.425,0.475,0.475,0.55,0.543,0.538,0.641,0.575,0.667,0.5,0.55,0.55,0.59,0.5,0.575,0.575,0.575,0.615,0.55,0.568,0.55,0.65,0.55,0.575,0.6,0.564,0.525,0.641,0.632,0.528,0.59,0.59,0.615,0.568,0,0.222,0.256,0.325,0.425,0.2,0.297,0.571,0.545,0.486,0.649,0.658,0.444,0.556,0.513
"it-b",0.613,0.529,0.476,0.556,0.417,0.389,0.389,0.5,0.516,0.571,0.6,0.5,0.514,0.528,0.528,0.583,0.571,0.528,0.583,0.556,0.556,0.657,0.528,0.576,0.583,0.583,0.472,0.528,0.611,0.629,0.556,0.629,0.559,0.531,0.6,0.571,0.6,0.576,0.222,0,0.194,0.278,0.361,0.278,0.273,0.452,0.5,0.469,0.636,0.6,0.36,0.667,0.514
"it-d",0.545,0.568,0.522,0.59,0.256,0.41,0.41,0.513,0.588,0.605,0.579,0.538,0.579,0.564,0.538,0.615,0.632,0.564,0.59,0.59,0.564,0.632,0.564,0.611,0.667,0.564,0.487,0.538,0.59,0.605,0.59,0.684,0.568,0.543,0.605,0.526,0.605,0.556,0.256,0.194,0,0.359,0.308,0.308,0.361,0.5,0.515,0.441,0.611,0.676,0.385,0.615,0.579
"it-f",0.647,0.447,0.565,0.6,0.5,0.375,0.375,0.5,0.514,0.564,0.462,0.55,0.564,0.5,0.6,0.45,0.487,0.45,0.475,0.525,0.575,0.487,0.475,0.514,0.45,0.475,0.475,0.475,0.575,0.487,0.45,0.59,0.5,0.417,0.513,0.487,0.538,0.459,0.325,0.278,0.359,0,0.375,0.4,0.135,0.4,0.576,0.429,0.459,0.526,0.407,0.481,0.385
"it-g",0.529,0.447,0.565,0.625,0.375,0.2,0.2,0.575,0.571,0.538,0.564,0.6,0.538,0.525,0.575,0.6,0.615,0.625,0.625,0.625,0.575,0.615,0.6,0.622,0.6,0.525,0.6,0.625,0.675,0.564,0.575,0.667,0.605,0.583,0.641,0.564,0.615,0.568,0.425,0.361,0.308,0.375,0,0.35,0.486,0.429,0.485,0.514,0.432,0.553,0.37,0.63,0.564
"it-o",0.529,0.605,0.609,0.55,0.425,0.425,0.475,0.475,0.514,0.41,0.615,0.55,0.615,0.5,0.5,0.55,0.513,0.5,0.525,0.525,0.475,0.615,0.475,0.541,0.55,0.625,0.575,0.575,0.55,0.538,0.525,0.59,0.553,0.472,0.564,0.538,0.487,0.514,0.2,0.278,0.308,0.4,0.35,0,0.405,0.486,0.545,0.457,0.568,0.553,0.37,0.593,0.513
"vg",0.581,0.514,0.545,0.541,0.514,0.514,0.514,0.459,0.531,0.568,0.459,0.568,0.5,0.486,0.595,0.432,0.5,0.432,0.514,0.514,0.568,0.459,0.514,0.5,0.432,0.459,0.514,0.486,0.568,0.5,0.432,0.556,0.528,0.457,0.556,0.528,0.528,0.514,0.297,0.273,0.361,0.135,0.486,0.405,0,0.455,0.567,0.344,0.529,0.486,0.36,0.48,0.417
"syr-p",0.586,0.545,0.45,0.657,0.514,0.457,0.457,0.286,0.333,0.371,0.471,0.286,0.618,0.543,0.429,0.429,0.324,0.429,0.314,0.371,0.371,0.441,0.314,0.406,0.4,0.457,0.343,0.486,0.429,0.471,0.4,0.294,0.471,0.281,0.412,0.353,0.382,0.281,0.571,0.452,0.5,0.4,0.429,0.486,0.455,0,0.226,0.5,0.441,0.265,0.5,0.304,0.324
"syr-h",0.593,0.613,0.579,0.667,0.515,0.515,0.455,0.303,0.25,0.281,0.5,0.273,0.531,0.545,0.333,0.455,0.312,0.424,0.273,0.424,0.333,0.531,0.242,0.4,0.424,0.455,0.182,0.455,0.394,0.469,0.424,0.281,0.452,0.207,0.312,0.25,0.344,0.2,0.545,0.5,0.515,0.576,0.485,0.545,0.567,0.226,0,0.6,0.562,0.387,0.476,0.391,0.406
"cop-sa",0.31,0.353,0.429,0.314,0.543,0.514,0.514,0.486,0.581,0.5,0.353,0.514,0.324,0.4,0.486,0.4,0.588,0.4,0.6,0.457,0.429,0.324,0.629,0.469,0.429,0.343,0.686,0.429,0.6,0.294,0.4,0.5,0.515,0.581,0.618,0.618,0.5,0.625,0.486,0.469,0.441,0.429,0.514,0.457,0.344,0.5,0.6,0,0.235,0.394,0.4,0.364,0.471
"cop-bo",0.484,0.314,0.476,0.378,0.622,0.486,0.486,0.459,0.562,0.472,0.417,0.568,0.417,0.351,0.486,0.324,0.472,0.378,0.541,0.459,0.432,0.361,0.568,0.412,0.351,0.378,0.568,0.432,0.568,0.278,0.378,0.556,0.429,0.515,0.583,0.5,0.389,0.559,0.649,0.636,0.611,0.459,0.432,0.568,0.529,0.441,0.562,0.235,0,0.429,0.4,0.292,0.389
"arm",0.606,0.611,0.545,0.579,0.632,0.605,0.605,0.342,0.424,0.324,0.486,0.395,0.568,0.526,0.421,0.395,0.351,0.368,0.395,0.395,0.368,0.459,0.395,0.429,0.342,0.474,0.447,0.5,0.5,0.432,0.368,0.351,0.333,0.382,0.432,0.378,0.324,0.4,0.658,0.6,0.676,0.526,0.553,0.553,0.486,0.265,0.387,0.394,0.429,0,0.519,0.308,0.324
"eth",0.636,0.423,0.438,0.556,0.407,0.37,0.407,0.333,0.609,0.423,0.556,0.519,0.538,0.481,0.407,0.481,0.538,0.444,0.556,0.444,0.407,0.519,0.556,0.52,0.519,0.519,0.63,0.519,0.63,0.423,0.444,0.654,0.52,0.5,0.556,0.519,0.444,0.542,0.444,0.36,0.385,0.407,0.37,0.37,0.36,0.5,0.476,0.4,0.4,0.519,0,0.632,0.556
"geo",0.714,0.577,0.562,0.593,0.556,0.63,0.667,0.222,0.217,0.231,0.462,0.37,0.538,0.407,0.37,0.259,0.231,0.222,0.148,0.296,0.296,0.346,0.148,0.28,0.222,0.481,0.222,0.37,0.222,0.308,0.296,0.346,0.28,0.16,0.259,0.222,0.222,0.192,0.556,0.667,0.615,0.481,0.63,0.593,0.48,0.304,0.391,0.364,0.292,0.308,0.632,0,0.037
"slav",0.727,0.622,0.636,0.641,0.615,0.564,0.59,0.333,0.265,0.289,0.5,0.333,0.579,0.436,0.333,0.282,0.211,0.231,0.205,0.282,0.282,0.421,0.179,0.278,0.231,0.513,0.256,0.385,0.282,0.395,0.308,0.342,0.297,0.194,0.308,0.231,0.282,0.222,0.513,0.514,0.579,0.385,0.564,0.513,0.417,0.324,0.406,0.471,0.389,0.324,0.556,0.037,0
