"","P46","01","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","424-c","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","K","L","P","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-h","cop-sa","cop-bo","arm","slav"
"P46",34,32,34,34,34,34,34,31,33,33,34,34,34,34,34,34,34,34,8,34,34,33,34,34,34,34,34,34,33,34,33,32,33,33,33,34,31,33,34,34,34,31,27,29,31,33,33
"01",32,38,38,38,38,38,38,35,37,37,38,37,38,38,38,37,38,38,9,38,38,37,38,38,38,38,38,38,37,38,37,36,37,37,37,38,34,37,38,38,38,35,31,34,35,36,37
"B",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"D",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"F",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"G",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"044",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"075",31,35,35,35,35,35,35,35,34,34,35,34,35,35,35,34,35,35,9,35,35,34,35,35,35,35,35,35,34,35,34,33,34,34,34,35,31,34,35,35,35,32,28,31,32,33,34
"0150",33,37,39,39,39,39,39,34,39,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,38,38,38,38,39,35,38,39,39,39,37,32,34,36,37,38
"0243",33,37,39,39,39,39,39,34,38,39,39,38,39,39,39,38,39,39,9,39,39,39,39,39,39,39,39,39,38,39,38,37,38,38,38,39,35,38,39,39,39,37,32,34,36,37,38
"6",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"33",34,37,39,39,39,39,39,34,38,38,39,39,39,39,39,39,39,39,8,39,39,38,39,39,39,39,39,39,38,39,38,37,38,38,38,39,35,38,39,39,39,36,32,34,36,37,38
"81",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"104",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"256",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"263",34,37,39,39,39,39,39,34,38,38,39,39,39,39,39,39,39,39,8,39,39,38,39,39,39,39,39,39,38,39,38,37,38,38,38,39,35,38,39,39,39,36,32,34,36,37,38
"365",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"424",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"424-c",8,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,8,9
"436",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"459",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1175",33,37,39,39,39,39,39,34,38,39,39,38,39,39,39,38,39,39,9,39,39,39,39,39,39,39,39,39,38,39,38,37,38,38,38,39,35,38,39,39,39,37,32,34,36,37,38
"1241",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1573",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1739",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1852",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1881",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1912",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"1962",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,39,39,38,37,38,38,38,39,35,38,39,39,39,36,32,34,36,37,38
"2127",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"2200",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,39,38,38,38,38,39,35,38,39,39,39,36,32,34,36,37,38
"2464",32,36,38,38,38,38,38,33,38,37,38,37,38,38,38,37,38,38,9,38,38,37,38,38,38,38,38,38,37,38,38,38,37,37,37,38,34,37,38,38,38,36,31,33,35,36,37
"K",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"L",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"P",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"it-ar",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-b",31,34,36,36,36,36,36,31,35,35,36,35,36,36,36,35,36,36,9,36,36,35,36,36,36,36,36,36,35,36,35,34,35,35,35,36,36,36,36,36,36,33,30,32,33,35,35
"it-d",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,38,38,38,39,36,39,39,39,39,36,33,34,36,37,38
"it-f",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-g",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-o",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"vg",31,35,37,37,37,37,37,32,37,37,37,36,37,37,37,36,37,37,8,37,37,37,37,37,37,37,37,37,36,37,36,36,36,36,36,37,33,36,37,37,37,37,30,32,34,35,36
"syr-h",27,31,33,33,33,33,33,28,32,32,33,32,33,33,33,32,33,33,8,33,33,32,33,33,33,33,33,33,32,33,32,31,32,32,32,33,30,33,33,33,33,30,33,30,32,31,32
"cop-sa",29,34,35,35,35,35,35,31,34,34,35,34,35,35,35,34,35,35,9,35,35,34,35,35,35,35,35,35,34,35,34,33,34,34,34,35,32,34,35,35,35,32,30,35,34,33,34
"cop-bo",31,35,37,37,37,37,37,32,36,36,37,36,37,37,37,36,37,37,9,37,37,36,37,37,37,37,37,37,36,37,36,35,36,36,36,37,33,36,37,37,37,34,32,34,37,35,36
"arm",33,36,38,38,38,38,38,33,37,37,38,37,38,38,38,37,38,38,8,38,38,37,38,38,38,38,38,38,37,38,37,36,37,37,37,38,35,37,38,38,38,35,31,33,35,38,37
"slav",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
