"","P46","01","B","C","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","436","459","1175","1241","1319","1573","1739","1852","1881","1912","1962","2127","2200","2464","Byz","K","L","P","Lect","it-ar","it-b","it-d","it-f","it-g","it-o","it-r","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo-1","slav"
"P46",0,0.469,0.382,0.476,0.618,0.529,0.559,0.647,0.677,0.606,0.424,0.676,0.5,0.618,0.618,0.706,0.735,0.706,0.676,0.647,0.647,0.545,0.706,0.781,0.706,0.412,0.676,0.5,0.618,0.515,0.735,0.576,0.688,0.7,0.727,0.697,0.667,0.677,0.676,0.613,0.545,0.647,0.529,0.529,0.4,0.581,0.586,0.593,0.31,0.484,0.606,0.636,0.545,0.727
"01",0.469,0,0.474,0.261,0.605,0.474,0.421,0.5,0.6,0.486,0.378,0.579,0.189,0.368,0.605,0.447,0.622,0.5,0.632,0.579,0.605,0.432,0.579,0.486,0.421,0.395,0.658,0.395,0.658,0.432,0.447,0.676,0.556,0.559,0.622,0.676,0.541,0.6,0.684,0.529,0.568,0.447,0.447,0.605,0.381,0.514,0.545,0.613,0.353,0.314,0.611,0.423,0.455,0.622
"B",0.382,0.474,0,0.6,0.6,0.55,0.55,0.7,0.714,0.564,0.41,0.625,0.359,0.375,0.525,0.45,0.615,0.5,0.625,0.6,0.55,0.385,0.65,0.541,0.5,0.4,0.675,0.45,0.55,0.385,0.5,0.667,0.526,0.639,0.692,0.59,0.513,0.649,0.575,0.556,0.59,0.6,0.625,0.55,0.455,0.541,0.657,0.667,0.314,0.378,0.579,0.556,0.636,0.641
"C",0.476,0.261,0.6,0,0.44,0.44,0.36,0.32,0.45,0.333,0.44,0.48,0.417,0.36,0.52,0.36,0.417,0.36,0.48,0.6,0.48,0.52,0.44,0.318,0.32,0.44,0.52,0.48,0.64,0.292,0.32,0.583,0.391,0.364,0.333,0.5,0.417,0.478,0.56,0.5,0.4,0.36,0.32,0.4,0.385,0.435,0.5,0.545,0.318,0.36,0.44,0.421,0.4,0.5
"D",0.618,0.605,0.6,0.44,0,0.425,0.375,0.475,0.486,0.59,0.641,0.525,0.667,0.575,0.55,0.575,0.59,0.55,0.525,0.625,0.55,0.667,0.525,0.595,0.625,0.625,0.55,0.6,0.6,0.513,0.55,0.615,0.553,0.472,0.538,0.436,0.564,0.432,0.425,0.417,0.256,0.5,0.375,0.425,0.682,0.514,0.514,0.515,0.543,0.622,0.632,0.407,0.545,0.615
"F",0.529,0.474,0.55,0.44,0.425,0,0.05,0.575,0.6,0.513,0.564,0.525,0.564,0.525,0.55,0.55,0.59,0.6,0.55,0.65,0.55,0.615,0.525,0.595,0.55,0.525,0.6,0.65,0.65,0.564,0.55,0.641,0.605,0.528,0.59,0.513,0.615,0.486,0.475,0.389,0.41,0.375,0.2,0.425,0.591,0.514,0.457,0.515,0.514,0.486,0.605,0.37,0.818,0.564
"G",0.559,0.421,0.55,0.36,0.375,0.05,0,0.575,0.571,0.513,0.538,0.475,0.513,0.475,0.5,0.5,0.538,0.55,0.55,0.65,0.5,0.615,0.525,0.541,0.5,0.5,0.55,0.6,0.65,0.513,0.5,0.615,0.553,0.5,0.564,0.487,0.59,0.486,0.475,0.389,0.41,0.375,0.2,0.475,0.545,0.514,0.457,0.455,0.514,0.486,0.605,0.407,0.727,0.59
"044",0.647,0.5,0.7,0.32,0.475,0.575,0.575,0,0.229,0.256,0.462,0.325,0.564,0.45,0.375,0.325,0.256,0.275,0.225,0.325,0.325,0.462,0.25,0.297,0.325,0.475,0.275,0.4,0.4,0.385,0.3,0.333,0.316,0.139,0.205,0.282,0.231,0.216,0.55,0.5,0.513,0.5,0.575,0.475,0.591,0.459,0.286,0.303,0.486,0.459,0.342,0.333,0.636,0.333
"075",0.677,0.6,0.714,0.45,0.486,0.6,0.571,0.229,0,0.235,0.588,0.314,0.559,0.486,0.4,0.314,0.265,0.257,0.143,0.343,0.343,0.5,0.143,0.281,0.314,0.6,0.229,0.4,0.229,0.412,0.286,0.294,0.424,0.065,0.118,0.206,0.265,0.094,0.543,0.516,0.588,0.514,0.571,0.514,0.714,0.531,0.333,0.25,0.581,0.562,0.424,0.609,0.636,0.265
"0150",0.606,0.486,0.564,0.333,0.59,0.513,0.513,0.256,0.235,0,0.553,0.359,0.474,0.41,0.333,0.308,0.237,0.256,0.205,0.436,0.282,0.526,0.154,0.306,0.256,0.564,0.282,0.41,0.333,0.342,0.282,0.395,0.342,0.167,0.184,0.263,0.158,0.194,0.538,0.571,0.605,0.564,0.538,0.41,0.619,0.568,0.371,0.281,0.5,0.472,0.324,0.423,0.727,0.289
"0243",0.424,0.378,0.41,0.44,0.641,0.564,0.538,0.462,0.588,0.553,0,0.41,0.342,0.436,0.436,0.41,0.474,0.462,0.513,0.462,0.462,0.282,0.538,0.444,0.436,0.026,0.538,0.231,0.513,0.342,0.41,0.368,0.405,0.486,0.553,0.553,0.447,0.528,0.641,0.6,0.579,0.462,0.564,0.615,0.286,0.459,0.471,0.5,0.353,0.417,0.486,0.556,0.455,0.5
"6",0.676,0.579,0.625,0.48,0.525,0.525,0.475,0.325,0.314,0.359,0.41,0,0.538,0.45,0.25,0.3,0.205,0.25,0.275,0.325,0.25,0.462,0.275,0.189,0.35,0.425,0.3,0.275,0.325,0.333,0.275,0.282,0.316,0.222,0.308,0.256,0.282,0.216,0.575,0.5,0.538,0.55,0.6,0.55,0.545,0.568,0.286,0.273,0.514,0.568,0.395,0.519,0.818,0.333
"33",0.5,0.189,0.359,0.417,0.667,0.564,0.513,0.564,0.559,0.474,0.342,0.538,0,0.308,0.538,0.41,0.615,0.462,0.641,0.538,0.538,0.342,0.538,0.459,0.41,0.359,0.641,0.333,0.538,0.421,0.41,0.553,0.486,0.571,0.632,0.605,0.5,0.611,0.667,0.514,0.579,0.564,0.538,0.615,0.5,0.5,0.618,0.531,0.324,0.417,0.568,0.538,0.636,0.579
"81",0.618,0.368,0.375,0.36,0.575,0.525,0.475,0.45,0.486,0.41,0.436,0.45,0.308,0,0.4,0.2,0.436,0.225,0.5,0.45,0.4,0.282,0.475,0.216,0.25,0.45,0.5,0.375,0.475,0.308,0.225,0.513,0.289,0.417,0.487,0.41,0.333,0.459,0.5,0.528,0.564,0.5,0.525,0.5,0.545,0.486,0.543,0.545,0.4,0.351,0.526,0.481,0.636,0.436
"104",0.618,0.605,0.525,0.52,0.55,0.55,0.5,0.375,0.4,0.333,0.436,0.25,0.538,0.4,0,0.35,0.231,0.3,0.325,0.25,0.05,0.41,0.375,0.324,0.4,0.45,0.3,0.375,0.3,0.308,0.375,0.41,0.237,0.306,0.359,0.256,0.256,0.351,0.55,0.528,0.538,0.6,0.575,0.5,0.591,0.595,0.429,0.333,0.486,0.486,0.421,0.407,0.727,0.333
"256",0.706,0.447,0.45,0.36,0.575,0.55,0.5,0.325,0.314,0.308,0.41,0.3,0.41,0.2,0.35,0,0.256,0.05,0.35,0.35,0.3,0.256,0.325,0.054,0.05,0.425,0.35,0.35,0.375,0.256,0.05,0.41,0.289,0.25,0.333,0.256,0.154,0.297,0.55,0.583,0.615,0.45,0.6,0.55,0.545,0.432,0.429,0.455,0.4,0.324,0.395,0.481,0.636,0.282
"263",0.735,0.622,0.615,0.417,0.59,0.59,0.538,0.256,0.265,0.237,0.474,0.205,0.615,0.436,0.231,0.256,0,0.205,0.179,0.256,0.179,0.474,0.205,0.189,0.256,0.487,0.179,0.359,0.282,0.316,0.282,0.316,0.189,0.114,0.184,0.158,0.132,0.194,0.59,0.571,0.632,0.487,0.615,0.513,0.682,0.5,0.324,0.312,0.588,0.472,0.351,0.538,0.818,0.211
"365",0.706,0.5,0.5,0.36,0.55,0.6,0.55,0.275,0.257,0.256,0.462,0.25,0.462,0.225,0.3,0.05,0.205,0,0.3,0.3,0.25,0.308,0.275,0.054,0.1,0.475,0.3,0.3,0.325,0.256,0.075,0.359,0.237,0.194,0.282,0.205,0.103,0.243,0.5,0.528,0.564,0.45,0.625,0.5,0.545,0.432,0.429,0.424,0.4,0.378,0.368,0.444,0.636,0.231
"424",0.676,0.632,0.625,0.48,0.525,0.55,0.55,0.225,0.143,0.205,0.513,0.275,0.641,0.5,0.325,0.35,0.179,0.3,0,0.3,0.275,0.513,0.1,0.324,0.35,0.525,0.175,0.375,0.2,0.385,0.325,0.308,0.316,0.028,0.103,0.154,0.231,0.054,0.575,0.583,0.59,0.475,0.625,0.525,0.682,0.514,0.314,0.273,0.6,0.541,0.395,0.556,0.818,0.205
"436",0.647,0.579,0.6,0.6,0.625,0.65,0.65,0.325,0.343,0.436,0.462,0.325,0.538,0.45,0.25,0.35,0.256,0.3,0.3,0,0.2,0.308,0.4,0.324,0.4,0.475,0.375,0.375,0.275,0.436,0.375,0.359,0.316,0.306,0.385,0.282,0.282,0.351,0.575,0.556,0.59,0.525,0.625,0.525,0.591,0.514,0.371,0.424,0.457,0.459,0.395,0.444,0.818,0.282
"459",0.647,0.605,0.55,0.48,0.55,0.55,0.5,0.325,0.343,0.282,0.462,0.25,0.538,0.4,0.05,0.3,0.179,0.25,0.275,0.2,0,0.41,0.325,0.27,0.35,0.475,0.3,0.4,0.25,0.333,0.325,0.359,0.237,0.25,0.308,0.205,0.205,0.297,0.575,0.556,0.564,0.575,0.575,0.475,0.545,0.568,0.371,0.333,0.429,0.432,0.368,0.407,0.727,0.282
"1175",0.545,0.432,0.385,0.52,0.667,0.615,0.615,0.462,0.5,0.526,0.282,0.462,0.342,0.282,0.41,0.256,0.474,0.308,0.513,0.308,0.41,0,0.564,0.306,0.308,0.308,0.564,0.359,0.41,0.316,0.308,0.395,0.405,0.486,0.553,0.474,0.395,0.528,0.615,0.657,0.632,0.487,0.615,0.615,0.429,0.459,0.441,0.531,0.324,0.361,0.459,0.519,0.545,0.421
"1241",0.706,0.579,0.65,0.44,0.525,0.525,0.525,0.25,0.143,0.154,0.538,0.275,0.538,0.475,0.375,0.325,0.205,0.275,0.1,0.4,0.325,0.564,0,0.297,0.275,0.55,0.175,0.375,0.2,0.436,0.3,0.359,0.342,0.028,0.154,0.154,0.231,0.054,0.55,0.528,0.564,0.475,0.6,0.475,0.773,0.514,0.314,0.242,0.629,0.568,0.395,0.556,0.818,0.179
"1319",0.781,0.486,0.541,0.318,0.595,0.595,0.541,0.297,0.281,0.306,0.444,0.189,0.459,0.216,0.324,0.054,0.189,0.054,0.324,0.324,0.27,0.306,0.297,0,0.108,0.459,0.324,0.351,0.351,0.278,0.081,0.361,0.257,0.212,0.278,0.25,0.139,0.265,0.568,0.576,0.611,0.514,0.622,0.541,0.619,0.5,0.406,0.4,0.469,0.412,0.429,0.52,0.7,0.278
"1573",0.706,0.421,0.5,0.32,0.625,0.55,0.5,0.325,0.314,0.256,0.436,0.35,0.41,0.25,0.4,0.05,0.256,0.1,0.35,0.4,0.35,0.308,0.275,0.108,0,0.45,0.35,0.4,0.425,0.308,0.1,0.41,0.342,0.25,0.333,0.308,0.205,0.324,0.55,0.583,0.667,0.45,0.6,0.55,0.591,0.432,0.4,0.424,0.429,0.351,0.342,0.519,0.636,0.231
"1739",0.412,0.395,0.4,0.44,0.625,0.525,0.5,0.475,0.6,0.564,0.026,0.425,0.359,0.45,0.45,0.425,0.487,0.475,0.525,0.475,0.475,0.308,0.55,0.459,0.45,0,0.55,0.25,0.525,0.359,0.425,0.385,0.421,0.5,0.564,0.564,0.462,0.541,0.65,0.583,0.564,0.475,0.525,0.625,0.318,0.459,0.457,0.455,0.343,0.378,0.474,0.519,0.455,0.513
"1852",0.676,0.658,0.675,0.52,0.55,0.6,0.55,0.275,0.229,0.282,0.538,0.3,0.641,0.5,0.3,0.35,0.179,0.3,0.175,0.375,0.3,0.564,0.175,0.324,0.35,0.55,0,0.4,0.275,0.462,0.375,0.385,0.289,0.111,0.205,0.154,0.231,0.162,0.55,0.472,0.487,0.475,0.6,0.575,0.682,0.514,0.343,0.182,0.686,0.568,0.447,0.63,0.727,0.256
"1881",0.5,0.395,0.45,0.48,0.6,0.65,0.6,0.4,0.4,0.41,0.231,0.275,0.333,0.375,0.375,0.35,0.359,0.3,0.375,0.375,0.4,0.359,0.375,0.351,0.4,0.25,0.4,0,0.325,0.282,0.325,0.41,0.289,0.333,0.41,0.41,0.333,0.378,0.575,0.528,0.538,0.475,0.625,0.575,0.409,0.486,0.486,0.455,0.429,0.432,0.5,0.519,0.636,0.385
"1912",0.618,0.658,0.55,0.64,0.6,0.65,0.65,0.4,0.229,0.333,0.513,0.325,0.538,0.475,0.3,0.375,0.282,0.325,0.2,0.275,0.25,0.41,0.2,0.351,0.425,0.525,0.275,0.325,0,0.487,0.4,0.41,0.368,0.194,0.256,0.205,0.282,0.189,0.6,0.611,0.59,0.575,0.675,0.55,0.636,0.568,0.429,0.394,0.6,0.568,0.5,0.63,0.818,0.282
"1962",0.515,0.432,0.385,0.292,0.513,0.564,0.513,0.385,0.412,0.342,0.342,0.333,0.421,0.308,0.308,0.256,0.316,0.256,0.385,0.436,0.333,0.316,0.436,0.278,0.308,0.359,0.462,0.282,0.487,0,0.256,0.395,0.27,0.343,0.368,0.395,0.289,0.389,0.564,0.629,0.605,0.487,0.564,0.538,0.5,0.5,0.471,0.469,0.294,0.278,0.432,0.423,0.455,0.395
"2127",0.735,0.447,0.5,0.32,0.55,0.55,0.5,0.3,0.286,0.282,0.41,0.275,0.41,0.225,0.375,0.05,0.282,0.075,0.325,0.375,0.325,0.308,0.3,0.081,0.1,0.425,0.375,0.325,0.4,0.256,0,0.385,0.316,0.222,0.308,0.282,0.179,0.27,0.525,0.556,0.59,0.45,0.575,0.525,0.5,0.432,0.4,0.424,0.4,0.378,0.368,0.444,0.636,0.308
"2200",0.576,0.676,0.667,0.583,0.615,0.641,0.615,0.333,0.294,0.395,0.368,0.282,0.553,0.513,0.41,0.41,0.316,0.359,0.308,0.359,0.359,0.395,0.359,0.361,0.41,0.385,0.385,0.41,0.41,0.395,0.385,0,0.395,0.286,0.316,0.368,0.342,0.306,0.641,0.629,0.684,0.59,0.667,0.59,0.476,0.556,0.294,0.281,0.5,0.556,0.351,0.654,0.727,0.342
"2464",0.688,0.556,0.526,0.391,0.553,0.605,0.553,0.316,0.424,0.342,0.405,0.316,0.486,0.289,0.237,0.289,0.189,0.237,0.316,0.316,0.237,0.405,0.342,0.257,0.342,0.421,0.289,0.289,0.368,0.27,0.316,0.395,0,0.286,0.297,0.216,0.189,0.314,0.632,0.559,0.568,0.5,0.605,0.553,0.7,0.528,0.471,0.452,0.515,0.429,0.333,0.52,0.545,0.297
"Byz",0.7,0.559,0.639,0.364,0.472,0.528,0.5,0.139,0.065,0.167,0.486,0.222,0.571,0.417,0.306,0.25,0.114,0.194,0.028,0.306,0.25,0.486,0.028,0.212,0.25,0.5,0.111,0.333,0.194,0.343,0.222,0.286,0.286,0,0.083,0.111,0.167,0.029,0.528,0.531,0.543,0.417,0.583,0.472,0.684,0.457,0.281,0.207,0.581,0.515,0.382,0.5,0.778,0.194
"K",0.727,0.622,0.692,0.333,0.538,0.59,0.564,0.205,0.118,0.184,0.553,0.308,0.632,0.487,0.359,0.333,0.184,0.282,0.103,0.385,0.308,0.553,0.154,0.278,0.333,0.564,0.205,0.41,0.256,0.368,0.308,0.316,0.297,0.083,0,0.205,0.231,0.111,0.59,0.6,0.605,0.513,0.641,0.564,0.714,0.556,0.412,0.312,0.618,0.583,0.432,0.556,0.7,0.308
"L",0.697,0.676,0.59,0.5,0.436,0.513,0.487,0.282,0.206,0.263,0.553,0.256,0.605,0.41,0.256,0.256,0.158,0.205,0.154,0.282,0.205,0.474,0.154,0.25,0.308,0.564,0.154,0.41,0.205,0.395,0.282,0.368,0.216,0.111,0.205,0,0.154,0.056,0.59,0.571,0.526,0.487,0.564,0.538,0.762,0.528,0.353,0.25,0.618,0.5,0.378,0.519,0.8,0.231
"P",0.667,0.541,0.513,0.417,0.564,0.615,0.59,0.231,0.265,0.158,0.447,0.282,0.5,0.333,0.256,0.154,0.132,0.103,0.231,0.282,0.205,0.395,0.231,0.139,0.205,0.462,0.231,0.333,0.282,0.289,0.179,0.342,0.189,0.167,0.231,0.154,0,0.194,0.615,0.6,0.605,0.538,0.615,0.487,0.619,0.528,0.382,0.344,0.5,0.389,0.324,0.444,0.7,0.282
"Lect",0.677,0.6,0.649,0.478,0.432,0.486,0.486,0.216,0.094,0.194,0.528,0.216,0.611,0.459,0.351,0.297,0.194,0.243,0.054,0.351,0.297,0.528,0.054,0.265,0.324,0.541,0.162,0.378,0.189,0.389,0.27,0.306,0.314,0.029,0.111,0.056,0.194,0,0.568,0.576,0.556,0.459,0.568,0.514,0.714,0.514,0.281,0.2,0.625,0.559,0.4,0.542,0.778,0.222
"it-ar",0.676,0.684,0.575,0.56,0.425,0.475,0.475,0.55,0.543,0.538,0.641,0.575,0.667,0.5,0.55,0.55,0.59,0.5,0.575,0.575,0.575,0.615,0.55,0.568,0.55,0.65,0.55,0.575,0.6,0.564,0.525,0.641,0.632,0.528,0.59,0.59,0.615,0.568,0,0.222,0.256,0.325,0.425,0.2,0.5,0.297,0.571,0.545,0.486,0.649,0.658,0.444,0.727,0.513
"it-b",0.613,0.529,0.556,0.5,0.417,0.389,0.389,0.5,0.516,0.571,0.6,0.5,0.514,0.528,0.528,0.583,0.571,0.528,0.583,0.556,0.556,0.657,0.528,0.576,0.583,0.583,0.472,0.528,0.611,0.629,0.556,0.629,0.559,0.531,0.6,0.571,0.6,0.576,0.222,0,0.194,0.278,0.361,0.278,0.579,0.273,0.452,0.5,0.469,0.636,0.6,0.36,0.8,0.514
"it-d",0.545,0.568,0.59,0.4,0.256,0.41,0.41,0.513,0.588,0.605,0.579,0.538,0.579,0.564,0.538,0.615,0.632,0.564,0.59,0.59,0.564,0.632,0.564,0.611,0.667,0.564,0.487,0.538,0.59,0.605,0.59,0.684,0.568,0.543,0.605,0.526,0.605,0.556,0.256,0.194,0,0.359,0.308,0.308,0.476,0.361,0.5,0.515,0.441,0.611,0.676,0.385,0.545,0.579
"it-f",0.647,0.447,0.6,0.36,0.5,0.375,0.375,0.5,0.514,0.564,0.462,0.55,0.564,0.5,0.6,0.45,0.487,0.45,0.475,0.525,0.575,0.487,0.475,0.514,0.45,0.475,0.475,0.475,0.575,0.487,0.45,0.59,0.5,0.417,0.513,0.487,0.538,0.459,0.325,0.278,0.359,0,0.375,0.4,0.409,0.135,0.4,0.576,0.429,0.459,0.526,0.407,0.636,0.385
"it-g",0.529,0.447,0.625,0.32,0.375,0.2,0.2,0.575,0.571,0.538,0.564,0.6,0.538,0.525,0.575,0.6,0.615,0.625,0.625,0.625,0.575,0.615,0.6,0.622,0.6,0.525,0.6,0.625,0.675,0.564,0.575,0.667,0.605,0.583,0.641,0.564,0.615,0.568,0.425,0.361,0.308,0.375,0,0.35,0.455,0.486,0.429,0.485,0.514,0.432,0.553,0.37,0.545,0.564
"it-o",0.529,0.605,0.55,0.4,0.425,0.425,0.475,0.475,0.514,0.41,0.615,0.55,0.615,0.5,0.5,0.55,0.513,0.5,0.525,0.525,0.475,0.615,0.475,0.541,0.55,0.625,0.575,0.575,0.55,0.538,0.525,0.59,0.553,0.472,0.564,0.538,0.487,0.514,0.2,0.278,0.308,0.4,0.35,0,0.545,0.405,0.486,0.545,0.457,0.568,0.553,0.37,0.727,0.513
"it-r",0.4,0.381,0.455,0.385,0.682,0.591,0.545,0.591,0.714,0.619,0.286,0.545,0.5,0.545,0.591,0.545,0.682,0.545,0.682,0.591,0.545,0.429,0.773,0.619,0.591,0.318,0.682,0.409,0.636,0.5,0.5,0.476,0.7,0.684,0.714,0.762,0.619,0.714,0.5,0.579,0.476,0.409,0.455,0.545,0,0.421,0.421,0.588,0.263,0.35,0.429,0.429,0.625,0.667
"vg",0.581,0.514,0.541,0.435,0.514,0.514,0.514,0.459,0.531,0.568,0.459,0.568,0.5,0.486,0.595,0.432,0.5,0.432,0.514,0.514,0.568,0.459,0.514,0.5,0.432,0.459,0.514,0.486,0.568,0.5,0.432,0.556,0.528,0.457,0.556,0.528,0.528,0.514,0.297,0.273,0.361,0.135,0.486,0.405,0.421,0,0.455,0.567,0.344,0.529,0.486,0.36,0.7,0.417
"syr-p",0.586,0.545,0.657,0.5,0.514,0.457,0.457,0.286,0.333,0.371,0.471,0.286,0.618,0.543,0.429,0.429,0.324,0.429,0.314,0.371,0.371,0.441,0.314,0.406,0.4,0.457,0.343,0.486,0.429,0.471,0.4,0.294,0.471,0.281,0.412,0.353,0.382,0.281,0.571,0.452,0.5,0.4,0.429,0.486,0.421,0.455,0,0.226,0.5,0.441,0.265,0.5,0.727,0.324
"syr-h",0.593,0.613,0.667,0.545,0.515,0.515,0.455,0.303,0.25,0.281,0.5,0.273,0.531,0.545,0.333,0.455,0.312,0.424,0.273,0.424,0.333,0.531,0.242,0.4,0.424,0.455,0.182,0.455,0.394,0.469,0.424,0.281,0.452,0.207,0.312,0.25,0.344,0.2,0.545,0.5,0.515,0.576,0.485,0.545,0.588,0.567,0.226,0,0.6,0.562,0.387,0.476,0.75,0.406
"cop-sa",0.31,0.353,0.314,0.318,0.543,0.514,0.514,0.486,0.581,0.5,0.353,0.514,0.324,0.4,0.486,0.4,0.588,0.4,0.6,0.457,0.429,0.324,0.629,0.469,0.429,0.343,0.686,0.429,0.6,0.294,0.4,0.5,0.515,0.581,0.618,0.618,0.5,0.625,0.486,0.469,0.441,0.429,0.514,0.457,0.263,0.344,0.5,0.6,0,0.235,0.394,0.4,0.545,0.471
"cop-bo",0.484,0.314,0.378,0.36,0.622,0.486,0.486,0.459,0.562,0.472,0.417,0.568,0.417,0.351,0.486,0.324,0.472,0.378,0.541,0.459,0.432,0.361,0.568,0.412,0.351,0.378,0.568,0.432,0.568,0.278,0.378,0.556,0.429,0.515,0.583,0.5,0.389,0.559,0.649,0.636,0.611,0.459,0.432,0.568,0.35,0.529,0.441,0.562,0.235,0,0.429,0.4,0.545,0.389
"arm",0.606,0.611,0.579,0.44,0.632,0.605,0.605,0.342,0.424,0.324,0.486,0.395,0.568,0.526,0.421,0.395,0.351,0.368,0.395,0.395,0.368,0.459,0.395,0.429,0.342,0.474,0.447,0.5,0.5,0.432,0.368,0.351,0.333,0.382,0.432,0.378,0.324,0.4,0.658,0.6,0.676,0.526,0.553,0.553,0.429,0.486,0.265,0.387,0.394,0.429,0,0.519,0.545,0.324
"eth",0.636,0.423,0.556,0.421,0.407,0.37,0.407,0.333,0.609,0.423,0.556,0.519,0.538,0.481,0.407,0.481,0.538,0.444,0.556,0.444,0.407,0.519,0.556,0.52,0.519,0.519,0.63,0.519,0.63,0.423,0.444,0.654,0.52,0.5,0.556,0.519,0.444,0.542,0.444,0.36,0.385,0.407,0.37,0.37,0.429,0.36,0.5,0.476,0.4,0.4,0.519,0,0.875,0.556
"geo-1",0.545,0.455,0.636,0.4,0.545,0.818,0.727,0.636,0.636,0.727,0.455,0.818,0.636,0.636,0.727,0.636,0.818,0.636,0.818,0.818,0.727,0.545,0.818,0.7,0.636,0.455,0.727,0.636,0.818,0.455,0.636,0.727,0.545,0.778,0.7,0.8,0.7,0.778,0.727,0.8,0.545,0.636,0.545,0.727,0.625,0.7,0.727,0.75,0.545,0.545,0.545,0.875,0,0.9
"slav",0.727,0.622,0.641,0.5,0.615,0.564,0.59,0.333,0.265,0.289,0.5,0.333,0.579,0.436,0.333,0.282,0.211,0.231,0.205,0.282,0.282,0.421,0.179,0.278,0.231,0.513,0.256,0.385,0.282,0.395,0.308,0.342,0.297,0.194,0.308,0.231,0.282,0.222,0.513,0.514,0.579,0.385,0.564,0.513,0.667,0.417,0.324,0.406,0.471,0.389,0.324,0.556,0.9,0
