"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2400","2412","2464","2815","JohnComB"
"P46",0,0.419,0.388,0.314,0.397,0.565,0.612,0.612,0.465,0.494,0.477,0.465,0.488,0.465,0.43,0.4,0.407,0.488,0.453,0.5,0.453,0.453,0.477,0.453,0.488,0.442,0.547,0.477,0.453,0.477,0.477,0.547,0.477,0.465,0.5,0.459,0.488,0.488,0.477,0.583,0.442,0.442,0.523,0.471,0.477,0.518,0.477,0.488,0.465,0.453,0.5,0.488,0.535,0.547,0.372,0.453,0.565,0.523,0.442,0.565,0.477,0.488,0.471,0.523,0.512,0.465,0.663,0.482,0.182
"01",0.419,0,0.17,0.215,0.194,0.406,0.519,0.509,0.308,0.34,0.271,0.327,0.346,0.355,0.346,0.226,0.29,0.346,0.262,0.327,0.346,0.346,0.336,0.355,0.333,0.327,0.402,0.355,0.299,0.327,0.346,0.393,0.355,0.318,0.355,0.349,0.346,0.299,0.355,0.495,0.374,0.318,0.402,0.311,0.355,0.368,0.336,0.383,0.271,0.346,0.374,0.336,0.383,0.402,0.215,0.346,0.406,0.346,0.308,0.453,0.336,0.336,0.302,0.453,0.364,0.355,0.579,0.349,0.182
"A",0.388,0.17,0,0.198,0.152,0.419,0.505,0.495,0.236,0.276,0.245,0.264,0.274,0.283,0.302,0.219,0.245,0.321,0.208,0.255,0.283,0.283,0.264,0.302,0.279,0.264,0.33,0.283,0.226,0.255,0.292,0.33,0.283,0.255,0.302,0.286,0.274,0.302,0.283,0.442,0.302,0.245,0.33,0.276,0.283,0.295,0.264,0.349,0.236,0.33,0.33,0.264,0.321,0.34,0.198,0.274,0.352,0.292,0.236,0.41,0.264,0.264,0.229,0.371,0.34,0.283,0.547,0.276,0.091
"B",0.314,0.215,0.198,0,0.204,0.453,0.528,0.528,0.29,0.321,0.271,0.299,0.299,0.327,0.28,0.208,0.271,0.327,0.271,0.327,0.318,0.318,0.308,0.327,0.276,0.299,0.355,0.318,0.28,0.29,0.327,0.364,0.327,0.308,0.336,0.321,0.308,0.271,0.308,0.476,0.346,0.28,0.383,0.264,0.318,0.358,0.299,0.308,0.252,0.28,0.374,0.318,0.346,0.374,0.178,0.299,0.396,0.355,0.28,0.472,0.318,0.318,0.302,0.425,0.318,0.336,0.579,0.302,0.091
"C",0.397,0.194,0.152,0.204,0,0.441,0.538,0.538,0.183,0.228,0.161,0.194,0.215,0.183,0.28,0.217,0.194,0.258,0.14,0.215,0.194,0.194,0.215,0.226,0.217,0.183,0.28,0.204,0.172,0.172,0.226,0.269,0.204,0.204,0.226,0.207,0.194,0.215,0.204,0.396,0.269,0.172,0.28,0.228,0.204,0.239,0.183,0.247,0.183,0.204,0.28,0.215,0.258,0.269,0.151,0.194,0.301,0.269,0.161,0.348,0.194,0.194,0.174,0.323,0.269,0.237,0.516,0.196,0.091
"D",0.565,0.406,0.419,0.453,0.441,0,0.396,0.377,0.415,0.438,0.462,0.425,0.462,0.443,0.443,0.438,0.453,0.443,0.453,0.406,0.425,0.406,0.443,0.462,0.51,0.425,0.462,0.443,0.406,0.425,0.453,0.481,0.443,0.443,0.462,0.448,0.434,0.425,0.443,0.51,0.481,0.396,0.5,0.457,0.434,0.476,0.425,0.481,0.443,0.453,0.462,0.443,0.434,0.5,0.425,0.415,0.505,0.5,0.396,0.495,0.425,0.425,0.41,0.543,0.528,0.443,0.557,0.429,0.273
"F",0.612,0.519,0.505,0.528,0.538,0.396,0,0.075,0.538,0.562,0.547,0.557,0.566,0.557,0.557,0.543,0.557,0.557,0.594,0.547,0.557,0.557,0.557,0.594,0.625,0.547,0.604,0.575,0.528,0.547,0.585,0.604,0.575,0.566,0.594,0.581,0.566,0.604,0.557,0.673,0.575,0.528,0.623,0.543,0.566,0.581,0.547,0.594,0.557,0.557,0.585,0.557,0.566,0.604,0.519,0.557,0.638,0.613,0.519,0.629,0.557,0.557,0.543,0.657,0.623,0.575,0.689,0.562,0.455
"G",0.612,0.509,0.495,0.528,0.538,0.377,0.075,0,0.528,0.552,0.538,0.557,0.557,0.566,0.566,0.562,0.557,0.538,0.575,0.547,0.557,0.547,0.557,0.594,0.625,0.547,0.585,0.575,0.519,0.547,0.575,0.585,0.575,0.557,0.585,0.581,0.557,0.594,0.557,0.673,0.575,0.519,0.604,0.543,0.557,0.571,0.547,0.585,0.547,0.547,0.585,0.547,0.557,0.594,0.528,0.538,0.619,0.594,0.519,0.648,0.547,0.547,0.533,0.667,0.623,0.566,0.698,0.562,0.455
"K",0.465,0.308,0.236,0.29,0.183,0.415,0.538,0.528,0,0.075,0.196,0.084,0.112,0.084,0.168,0.33,0.15,0.159,0.187,0.065,0.084,0.084,0.065,0.131,0.19,0.084,0.112,0.093,0.028,0.065,0.093,0.112,0.103,0.056,0.112,0.104,0.084,0.262,0.084,0.257,0.131,0.056,0.14,0.208,0.084,0.075,0.075,0.187,0.168,0.168,0.121,0.056,0.131,0.121,0.224,0.093,0.16,0.187,0.037,0.208,0.075,0.056,0.038,0.189,0.215,0.103,0.467,0.085,0.182
"L",0.494,0.34,0.276,0.321,0.228,0.438,0.562,0.552,0.075,0,0.217,0.104,0.142,0.075,0.198,0.343,0.179,0.198,0.226,0.113,0.113,0.104,0.066,0.132,0.231,0.104,0.132,0.113,0.066,0.085,0.123,0.123,0.113,0.094,0.113,0.114,0.104,0.321,0.085,0.25,0.113,0.075,0.151,0.238,0.123,0.114,0.094,0.189,0.217,0.179,0.123,0.075,0.151,0.16,0.255,0.113,0.181,0.189,0.057,0.248,0.094,0.066,0.076,0.171,0.255,0.142,0.509,0.086,0.273
"044",0.477,0.271,0.245,0.271,0.161,0.462,0.547,0.538,0.196,0.217,0,0.196,0.215,0.215,0.243,0.255,0.234,0.262,0.206,0.196,0.206,0.206,0.196,0.215,0.276,0.196,0.29,0.234,0.187,0.168,0.215,0.28,0.196,0.215,0.234,0.217,0.224,0.29,0.196,0.41,0.262,0.187,0.299,0.236,0.215,0.255,0.178,0.243,0.187,0.159,0.271,0.206,0.271,0.262,0.215,0.196,0.311,0.308,0.168,0.368,0.206,0.187,0.179,0.34,0.28,0.224,0.495,0.189,0.273
"056",0.465,0.327,0.264,0.299,0.194,0.425,0.557,0.557,0.084,0.104,0.196,0,0.168,0.093,0.178,0.283,0.168,0.206,0.234,0.103,0.103,0.093,0.093,0.093,0.2,0.075,0.131,0.103,0.075,0.047,0.112,0.15,0.093,0.084,0.121,0.085,0.084,0.271,0.075,0.257,0.159,0.084,0.196,0.189,0.075,0.132,0.056,0.224,0.187,0.168,0.14,0.103,0.121,0.15,0.243,0.093,0.17,0.206,0.047,0.245,0.093,0.093,0.057,0.226,0.224,0.121,0.458,0.075,0.182
"075",0.488,0.346,0.274,0.299,0.215,0.462,0.566,0.557,0.112,0.142,0.215,0.168,0,0.15,0.215,0.321,0.215,0.262,0.196,0.121,0.168,0.168,0.131,0.178,0.257,0.168,0.178,0.159,0.103,0.131,0.14,0.168,0.168,0.14,0.159,0.179,0.168,0.299,0.131,0.305,0.159,0.121,0.206,0.236,0.131,0.151,0.14,0.206,0.206,0.178,0.187,0.084,0.187,0.159,0.28,0.159,0.226,0.243,0.121,0.283,0.103,0.103,0.123,0.245,0.252,0.15,0.505,0.123,0.182
"1",0.465,0.355,0.283,0.327,0.183,0.443,0.557,0.566,0.084,0.075,0.215,0.093,0.15,0,0.196,0.33,0.168,0.224,0.224,0.121,0.075,0.075,0.075,0.112,0.21,0.084,0.15,0.093,0.075,0.075,0.103,0.14,0.103,0.103,0.103,0.094,0.093,0.308,0.065,0.257,0.121,0.065,0.178,0.236,0.103,0.123,0.084,0.196,0.215,0.168,0.121,0.084,0.159,0.14,0.243,0.103,0.217,0.206,0.047,0.245,0.084,0.065,0.075,0.179,0.252,0.121,0.505,0.066,0.273
"6",0.43,0.346,0.302,0.28,0.28,0.443,0.557,0.566,0.168,0.198,0.243,0.178,0.215,0.196,0,0.292,0.206,0.243,0.234,0.168,0.178,0.196,0.15,0.168,0.267,0.159,0.252,0.187,0.159,0.15,0.187,0.243,0.168,0.196,0.178,0.189,0.178,0.336,0.15,0.343,0.215,0.178,0.262,0.245,0.159,0.236,0.159,0.196,0.206,0.178,0.196,0.178,0.224,0.215,0.168,0.159,0.274,0.262,0.159,0.33,0.196,0.178,0.179,0.283,0.252,0.196,0.514,0.142,0.273
"33",0.4,0.226,0.219,0.208,0.217,0.438,0.543,0.562,0.33,0.343,0.255,0.283,0.321,0.33,0.292,0,0.292,0.349,0.302,0.311,0.34,0.34,0.349,0.292,0.317,0.292,0.387,0.302,0.321,0.302,0.349,0.377,0.33,0.34,0.34,0.314,0.33,0.292,0.311,0.481,0.387,0.292,0.406,0.305,0.33,0.371,0.311,0.311,0.274,0.292,0.349,0.34,0.387,0.377,0.245,0.34,0.419,0.349,0.302,0.486,0.321,0.321,0.314,0.429,0.34,0.34,0.462,0.305,0.091
"69",0.407,0.29,0.245,0.271,0.194,0.453,0.557,0.557,0.15,0.179,0.234,0.168,0.215,0.168,0.206,0.292,0,0.234,0.196,0.168,0.15,0.15,0.168,0.206,0.162,0.187,0.252,0.215,0.14,0.168,0.206,0.252,0.196,0.178,0.234,0.198,0.196,0.243,0.187,0.343,0.206,0.159,0.28,0.217,0.178,0.217,0.178,0.252,0.206,0.234,0.196,0.178,0.224,0.262,0.206,0.178,0.302,0.252,0.14,0.321,0.187,0.178,0.16,0.283,0.224,0.215,0.477,0.179,0.091
"88",0.488,0.346,0.321,0.327,0.258,0.443,0.557,0.538,0.159,0.198,0.262,0.206,0.262,0.224,0.243,0.349,0.234,0,0.224,0.206,0.224,0.196,0.206,0.252,0.257,0.196,0.215,0.215,0.168,0.187,0.234,0.215,0.224,0.196,0.234,0.226,0.196,0.252,0.196,0.324,0.252,0.196,0.224,0.208,0.196,0.198,0.196,0.234,0.196,0.234,0.252,0.196,0.196,0.243,0.28,0.224,0.217,0.28,0.178,0.274,0.215,0.206,0.179,0.283,0.28,0.243,0.421,0.208,0.273
"104",0.453,0.262,0.208,0.271,0.14,0.453,0.594,0.575,0.187,0.226,0.206,0.234,0.196,0.224,0.234,0.302,0.196,0.224,0,0.196,0.206,0.206,0.178,0.224,0.219,0.196,0.271,0.234,0.178,0.196,0.206,0.271,0.196,0.215,0.234,0.217,0.224,0.206,0.196,0.362,0.224,0.196,0.243,0.226,0.206,0.236,0.206,0.252,0.178,0.243,0.271,0.196,0.234,0.262,0.224,0.187,0.292,0.262,0.187,0.34,0.215,0.196,0.198,0.321,0.234,0.215,0.477,0.189,0.182
"131",0.5,0.327,0.255,0.327,0.215,0.406,0.547,0.547,0.065,0.113,0.196,0.103,0.121,0.121,0.168,0.311,0.168,0.206,0.196,0,0.121,0.121,0.084,0.15,0.257,0.121,0.168,0.112,0.065,0.075,0.112,0.168,0.121,0.084,0.131,0.142,0.112,0.29,0.103,0.276,0.15,0.093,0.196,0.236,0.103,0.123,0.084,0.178,0.168,0.178,0.159,0.075,0.168,0.159,0.262,0.112,0.198,0.215,0.075,0.236,0.103,0.075,0.057,0.198,0.262,0.121,0.458,0.104,0.182
"205",0.453,0.346,0.283,0.318,0.194,0.425,0.557,0.557,0.084,0.113,0.206,0.103,0.168,0.075,0.178,0.34,0.15,0.224,0.206,0.121,0,0.028,0.084,0.093,0.21,0.084,0.178,0.112,0.084,0.084,0.112,0.178,0.065,0.112,0.131,0.066,0.103,0.299,0.084,0.286,0.14,0.093,0.196,0.217,0.103,0.151,0.093,0.206,0.196,0.168,0.15,0.112,0.168,0.159,0.234,0.084,0.236,0.224,0.056,0.274,0.112,0.084,0.075,0.217,0.252,0.121,0.505,0.075,0.364
"209",0.453,0.346,0.283,0.318,0.194,0.406,0.557,0.547,0.084,0.104,0.206,0.093,0.168,0.075,0.196,0.34,0.15,0.196,0.206,0.121,0.028,0,0.093,0.103,0.229,0.093,0.15,0.121,0.075,0.075,0.121,0.15,0.075,0.103,0.14,0.075,0.112,0.28,0.093,0.276,0.15,0.084,0.196,0.236,0.112,0.142,0.084,0.224,0.215,0.168,0.159,0.103,0.14,0.168,0.234,0.112,0.208,0.234,0.047,0.255,0.103,0.093,0.066,0.226,0.271,0.131,0.486,0.085,0.273
"226",0.477,0.336,0.264,0.308,0.215,0.443,0.557,0.557,0.065,0.066,0.196,0.093,0.131,0.075,0.15,0.349,0.168,0.206,0.178,0.084,0.084,0.093,0,0.103,0.2,0.075,0.14,0.103,0.056,0.056,0.056,0.15,0.075,0.084,0.093,0.094,0.075,0.308,0.056,0.238,0.084,0.084,0.14,0.189,0.075,0.113,0.065,0.168,0.168,0.168,0.121,0.065,0.14,0.112,0.243,0.075,0.189,0.168,0.047,0.245,0.103,0.056,0.066,0.16,0.206,0.075,0.486,0.057,0.364
"323",0.453,0.355,0.302,0.327,0.226,0.462,0.594,0.594,0.131,0.132,0.215,0.093,0.178,0.112,0.168,0.292,0.206,0.252,0.224,0.15,0.093,0.103,0.103,0,0.229,0.084,0.178,0.103,0.121,0.084,0.112,0.168,0.047,0.14,0.093,0.047,0.121,0.318,0.065,0.286,0.14,0.112,0.187,0.245,0.084,0.179,0.093,0.215,0.215,0.168,0.131,0.112,0.187,0.131,0.28,0.103,0.255,0.215,0.093,0.321,0.131,0.103,0.113,0.226,0.215,0.121,0.477,0.057,0.364
"330",0.488,0.333,0.279,0.276,0.217,0.51,0.625,0.625,0.19,0.231,0.276,0.2,0.257,0.21,0.267,0.317,0.162,0.257,0.219,0.257,0.21,0.229,0.2,0.229,0,0.21,0.219,0.219,0.21,0.219,0.238,0.267,0.238,0.248,0.238,0.231,0.229,0.238,0.2,0.32,0.267,0.21,0.257,0.173,0.21,0.25,0.229,0.219,0.181,0.248,0.238,0.229,0.248,0.238,0.248,0.229,0.298,0.238,0.21,0.343,0.238,0.229,0.231,0.298,0.076,0.248,0.448,0.192,0.273
"440",0.442,0.327,0.264,0.299,0.183,0.425,0.547,0.547,0.084,0.104,0.196,0.075,0.168,0.084,0.159,0.292,0.187,0.196,0.196,0.121,0.084,0.093,0.075,0.084,0.21,0,0.15,0.084,0.075,0.056,0.103,0.15,0.056,0.103,0.103,0.057,0.065,0.271,0.056,0.248,0.14,0.075,0.159,0.189,0.075,0.142,0.065,0.206,0.168,0.15,0.14,0.103,0.14,0.131,0.234,0.075,0.189,0.196,0.047,0.274,0.103,0.093,0.075,0.208,0.224,0.112,0.486,0.057,0.273
"460",0.547,0.402,0.33,0.355,0.28,0.462,0.604,0.585,0.112,0.132,0.29,0.131,0.178,0.15,0.252,0.387,0.252,0.215,0.271,0.168,0.178,0.15,0.14,0.178,0.219,0.15,0,0.14,0.121,0.131,0.159,0.075,0.159,0.15,0.159,0.16,0.15,0.299,0.131,0.21,0.206,0.121,0.131,0.245,0.15,0.142,0.14,0.234,0.252,0.234,0.187,0.131,0.15,0.112,0.318,0.168,0.16,0.234,0.121,0.236,0.131,0.131,0.123,0.208,0.252,0.168,0.439,0.132,0.364
"489",0.477,0.355,0.283,0.318,0.204,0.443,0.575,0.575,0.093,0.113,0.234,0.103,0.159,0.093,0.187,0.302,0.215,0.215,0.234,0.112,0.112,0.121,0.103,0.103,0.219,0.084,0.14,0,0.084,0.084,0.112,0.131,0.103,0.103,0.047,0.085,0.084,0.29,0.065,0.229,0.15,0.075,0.15,0.236,0.084,0.142,0.093,0.159,0.187,0.178,0.14,0.084,0.168,0.112,0.252,0.103,0.217,0.187,0.075,0.292,0.093,0.084,0.085,0.16,0.234,0.121,0.486,0.066,0.273
"517",0.453,0.299,0.226,0.28,0.172,0.406,0.528,0.519,0.028,0.066,0.187,0.075,0.103,0.075,0.159,0.321,0.14,0.168,0.178,0.065,0.084,0.075,0.056,0.121,0.21,0.075,0.121,0.084,0,0.056,0.065,0.121,0.093,0.047,0.103,0.094,0.075,0.271,0.075,0.229,0.121,0.047,0.159,0.198,0.075,0.085,0.065,0.178,0.159,0.159,0.131,0.047,0.103,0.131,0.215,0.093,0.17,0.196,0.028,0.226,0.056,0.056,0.028,0.179,0.234,0.075,0.486,0.057,0.182
"547",0.477,0.327,0.255,0.29,0.172,0.425,0.547,0.547,0.065,0.085,0.168,0.047,0.131,0.075,0.15,0.302,0.168,0.187,0.196,0.075,0.084,0.075,0.056,0.084,0.219,0.056,0.131,0.084,0.056,0,0.084,0.131,0.056,0.065,0.084,0.075,0.056,0.271,0.037,0.257,0.121,0.065,0.178,0.189,0.056,0.104,0.009,0.206,0.159,0.131,0.14,0.065,0.121,0.112,0.224,0.056,0.179,0.196,0.028,0.245,0.065,0.056,0.047,0.198,0.224,0.093,0.477,0.038,0.182
"614",0.477,0.346,0.292,0.327,0.226,0.453,0.585,0.575,0.093,0.123,0.215,0.112,0.14,0.103,0.187,0.349,0.206,0.234,0.206,0.112,0.112,0.121,0.056,0.112,0.238,0.103,0.159,0.112,0.065,0.084,0,0.15,0.103,0.103,0.093,0.113,0.093,0.318,0.084,0.229,0.14,0.093,0.178,0.217,0.084,0.142,0.093,0.196,0.187,0.187,0.159,0.093,0.168,0.112,0.262,0.103,0.226,0.215,0.075,0.274,0.093,0.075,0.085,0.189,0.243,0.028,0.477,0.066,0.364
"618",0.547,0.393,0.33,0.364,0.269,0.481,0.604,0.585,0.112,0.123,0.28,0.15,0.168,0.14,0.243,0.377,0.252,0.215,0.271,0.168,0.178,0.15,0.15,0.168,0.267,0.15,0.075,0.131,0.121,0.131,0.15,0,0.159,0.15,0.131,0.16,0.14,0.318,0.131,0.219,0.178,0.121,0.121,0.274,0.131,0.113,0.14,0.234,0.252,0.224,0.15,0.112,0.15,0.075,0.308,0.168,0.17,0.215,0.121,0.255,0.131,0.121,0.123,0.208,0.262,0.178,0.477,0.132,0.273
"796",0.477,0.355,0.283,0.327,0.204,0.443,0.575,0.575,0.103,0.113,0.196,0.093,0.168,0.103,0.168,0.33,0.196,0.224,0.196,0.121,0.065,0.075,0.075,0.047,0.238,0.056,0.159,0.103,0.093,0.056,0.103,0.159,0,0.121,0.103,0.038,0.093,0.308,0.056,0.267,0.131,0.103,0.168,0.226,0.075,0.16,0.065,0.224,0.187,0.168,0.159,0.103,0.159,0.131,0.262,0.075,0.217,0.224,0.065,0.302,0.121,0.093,0.085,0.236,0.243,0.112,0.486,0.047,0.455
"910",0.465,0.318,0.255,0.308,0.204,0.443,0.566,0.557,0.056,0.094,0.215,0.084,0.14,0.103,0.196,0.34,0.178,0.196,0.215,0.084,0.112,0.103,0.084,0.14,0.248,0.103,0.15,0.103,0.047,0.065,0.103,0.15,0.121,0,0.121,0.104,0.084,0.308,0.103,0.276,0.15,0.075,0.178,0.208,0.103,0.094,0.075,0.215,0.187,0.196,0.159,0.065,0.15,0.159,0.252,0.121,0.189,0.215,0.056,0.236,0.075,0.084,0.047,0.179,0.271,0.103,0.495,0.104,0.182
