"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"P46",0,0.679,0.704,0.429,0.667,0.714,0.679,0.679,0.714,0.714,0.679,0.75,0.786,0.714,0.643,0.679,0.786,0.714,0.786,0.786,0.714,0.714,0.714,0.679,0.679,0.714,0.75,0.714,0.75,0.75,0.714,0.75,0.714,0.786,0.714,0.704,0.786,0.679,0.714,0.75,0.679,0.714,0.714,0.741,0.75,0.75,0.75,0.643,0.786,0.607,0.714,0.75,0.75,0.75,0.607,0.679,0.786,0.821,0.714,0.75,0.786,0.75,0.786,0.786,0.722,0.679,0.714,0.75,0.679,0.714,0.731,0.714,0.654,0.5,0.625,0.679,0.643,0.63,0.571,0.571,0.667,0.636,0.682,0.571,0.571,0.556,0.607,0.615,0.692
"01",0.679,0,0.267,0.387,0.296,0.516,0.613,0.613,0.516,0.516,0.355,0.484,0.581,0.516,0.452,0.29,0.516,0.484,0.516,0.452,0.516,0.516,0.516,0.484,0.452,0.516,0.548,0.516,0.484,0.484,0.484,0.548,0.484,0.484,0.516,0.5,0.548,0.452,0.484,0.548,0.484,0.548,0.484,0.433,0.516,0.516,0.516,0.581,0.419,0.581,0.516,0.484,0.548,0.484,0.258,0.452,0.516,0.484,0.484,0.581,0.484,0.484,0.484,0.581,0.526,0.516,0.484,0.484,0.581,0.484,0.538,0.476,0.448,0.423,0.296,0.581,0.571,0.633,0.419,0.516,0.467,0.636,0.591,0.429,0.387,0.4,0.452,0.345,0.483
"A",0.704,0.267,0,0.5,0.308,0.633,0.733,0.733,0.433,0.4,0.367,0.4,0.4,0.467,0.4,0.433,0.367,0.433,0.333,0.4,0.467,0.467,0.433,0.5,0.3,0.467,0.367,0.433,0.433,0.433,0.433,0.367,0.433,0.467,0.433,0.483,0.433,0.233,0.433,0.433,0.367,0.433,0.367,0.379,0.4,0.433,0.467,0.533,0.367,0.533,0.433,0.433,0.433,0.433,0.3,0.4,0.433,0.367,0.433,0.5,0.433,0.433,0.367,0.467,0.444,0.333,0.433,0.467,0.533,0.433,0.44,0.6,0.393,0.48,0.269,0.533,0.556,0.69,0.433,0.567,0.483,0.571,0.476,0.385,0.4,0.414,0.467,0.5,0.393
"B",0.429,0.387,0.5,0,0.481,0.613,0.516,0.548,0.645,0.613,0.452,0.645,0.613,0.613,0.484,0.29,0.613,0.613,0.581,0.645,0.613,0.613,0.581,0.516,0.516,0.581,0.645,0.645,0.613,0.613,0.613,0.645,0.581,0.645,0.645,0.533,0.677,0.484,0.581,0.645,0.581,0.613,0.613,0.5,0.645,0.677,0.645,0.613,0.548,0.581,0.613,0.613,0.613,0.613,0.323,0.548,0.677,0.71,0.581,0.742,0.645,0.613,0.677,0.71,0.632,0.548,0.613,0.677,0.613,0.581,0.538,0.381,0.448,0.269,0.333,0.548,0.643,0.533,0.323,0.452,0.533,0.545,0.682,0.429,0.29,0.3,0.355,0.414,0.621
"C",0.667,0.296,0.308,0.481,0,0.63,0.704,0.704,0.37,0.37,0.222,0.407,0.37,0.296,0.37,0.407,0.333,0.37,0.37,0.333,0.296,0.296,0.333,0.407,0.259,0.37,0.37,0.37,0.333,0.333,0.407,0.37,0.333,0.37,0.37,0.385,0.407,0.259,0.333,0.407,0.37,0.407,0.333,0.308,0.37,0.37,0.37,0.37,0.296,0.37,0.37,0.333,0.407,0.333,0.148,0.296,0.407,0.407,0.333,0.407,0.333,0.333,0.37,0.407,0.333,0.333,0.407,0.407,0.37,0.333,0.409,0.316,0.32,0.391,0.25,0.481,0.542,0.692,0.407,0.519,0.462,0.474,0.368,0.455,0.37,0.385,0.444,0.36,0.4
"D",0.714,0.516,0.633,0.613,0.63,0,0.516,0.484,0.613,0.613,0.677,0.677,0.71,0.613,0.613,0.645,0.645,0.516,0.677,0.613,0.613,0.613,0.613,0.677,0.677,0.581,0.645,0.581,0.581,0.613,0.645,0.677,0.581,0.645,0.581,0.633,0.645,0.645,0.581,0.613,0.581,0.613,0.581,0.633,0.613,0.645,0.613,0.71,0.613,0.71,0.613,0.581,0.645,0.613,0.548,0.548,0.645,0.645,0.581,0.677,0.613,0.581,0.645,0.742,0.474,0.71,0.645,0.677,0.71,0.581,0.577,0.619,0.586,0.615,0.519,0.484,0.5,0.333,0.484,0.419,0.433,0.591,0.5,0.643,0.484,0.467,0.484,0.69,0.586
"F",0.679,0.613,0.733,0.516,0.704,0.516,0,0.065,0.806,0.774,0.742,0.839,0.806,0.774,0.742,0.613,0.774,0.742,0.774,0.806,0.774,0.774,0.742,0.774,0.774,0.742,0.806,0.774,0.774,0.774,0.839,0.806,0.742,0.839,0.774,0.767,0.839,0.774,0.742,0.806,0.742,0.806,0.774,0.767,0.806,0.839,0.774,0.806,0.774,0.774,0.742,0.774,0.774,0.774,0.613,0.71,0.839,0.839,0.742,0.871,0.806,0.774,0.839,0.903,0.737,0.774,0.839,0.871,0.806,0.742,0.731,0.571,0.655,0.654,0.63,0.452,0.536,0.533,0.452,0.355,0.467,0.682,0.727,0.786,0.484,0.467,0.516,0.724,0.759
"G",0.679,0.613,0.733,0.548,0.704,0.484,0.065,0,0.806,0.806,0.774,0.871,0.806,0.806,0.774,0.645,0.806,0.71,0.774,0.806,0.806,0.806,0.774,0.806,0.806,0.774,0.806,0.742,0.774,0.806,0.839,0.806,0.774,0.839,0.742,0.8,0.839,0.774,0.774,0.806,0.774,0.806,0.774,0.8,0.806,0.839,0.806,0.806,0.774,0.806,0.774,0.774,0.806,0.774,0.645,0.742,0.839,0.839,0.774,0.871,0.806,0.774,0.839,0.903,0.737,0.806,0.839,0.871,0.806,0.774,0.731,0.571,0.69,0.654,0.63,0.484,0.5,0.5,0.484,0.323,0.467,0.682,0.727,0.786,0.516,0.5,0.548,0.724,0.759
"K",0.714,0.516,0.433,0.645,0.37,0.613,0.806,0.806,0,0.065,0.29,0.129,0.194,0.097,0.258,0.516,0.226,0.161,0.258,0.065,0.097,0.097,0.097,0.161,0.29,0.097,0.065,0.097,0.065,0.097,0.097,0.097,0.065,0.097,0.097,0.1,0.129,0.29,0.065,0.129,0.129,0.065,0.065,0.233,0.065,0.032,0.129,0.194,0.194,0.226,0.129,0.032,0.129,0.065,0.355,0.097,0.129,0.194,0.065,0.129,0.097,0.032,0.065,0.194,0.263,0.258,0.097,0.29,0.194,0.097,0.154,0.524,0.241,0.5,0.407,0.516,0.643,0.667,0.548,0.645,0.567,0.318,0.136,0.429,0.516,0.533,0.516,0.517,0.241
"L",0.714,0.516,0.4,0.613,0.37,0.613,0.774,0.806,0.065,0,0.258,0.065,0.194,0.065,0.194,0.484,0.161,0.194,0.226,0.097,0.065,0.065,0.065,0.129,0.226,0.065,0.065,0.129,0.097,0.065,0.097,0.097,0.032,0.129,0.129,0.067,0.129,0.258,0.032,0.129,0.065,0.065,0.065,0.2,0.065,0.097,0.097,0.258,0.226,0.226,0.097,0.065,0.065,0.097,0.323,0.065,0.161,0.161,0.032,0.194,0.129,0.065,0.065,0.194,0.263,0.194,0.097,0.355,0.258,0.065,0.192,0.524,0.207,0.5,0.407,0.484,0.643,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.552,0.276
"044",0.679,0.355,0.367,0.452,0.222,0.677,0.742,0.774,0.29,0.258,0,0.258,0.29,0.258,0.258,0.258,0.323,0.323,0.387,0.226,0.258,0.258,0.258,0.29,0.29,0.258,0.323,0.29,0.258,0.226,0.323,0.323,0.226,0.29,0.29,0.267,0.355,0.323,0.226,0.355,0.323,0.323,0.323,0.233,0.323,0.29,0.258,0.29,0.226,0.258,0.258,0.258,0.29,0.258,0.226,0.258,0.323,0.323,0.226,0.387,0.258,0.258,0.258,0.355,0.421,0.258,0.323,0.355,0.355,0.226,0.385,0.381,0.276,0.385,0.333,0.548,0.714,0.733,0.484,0.677,0.633,0.364,0.364,0.429,0.452,0.467,0.452,0.414,0.379
"056",0.75,0.484,0.4,0.645,0.407,0.677,0.839,0.871,0.129,0.065,0.258,0,0.258,0.129,0.258,0.452,0.226,0.258,0.29,0.097,0.129,0.129,0.129,0.161,0.29,0.129,0.129,0.194,0.161,0.097,0.129,0.161,0.097,0.129,0.194,0.1,0.161,0.323,0.097,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.129,0.323,0.226,0.29,0.161,0.129,0.129,0.161,0.387,0.129,0.161,0.161,0.097,0.226,0.161,0.129,0.065,0.226,0.316,0.258,0.129,0.323,0.323,0.129,0.269,0.619,0.276,0.538,0.481,0.484,0.643,0.733,0.581,0.71,0.6,0.409,0.227,0.5,0.548,0.567,0.548,0.552,0.31
"075",0.786,0.581,0.4,0.613,0.37,0.71,0.806,0.806,0.194,0.194,0.29,0.258,0,0.258,0.323,0.484,0.29,0.323,0.194,0.226,0.258,0.258,0.226,0.323,0.258,0.258,0.129,0.258,0.194,0.258,0.194,0.161,0.226,0.258,0.258,0.267,0.258,0.258,0.226,0.226,0.258,0.194,0.194,0.3,0.194,0.226,0.29,0.226,0.258,0.258,0.29,0.194,0.226,0.226,0.419,0.258,0.29,0.323,0.226,0.323,0.194,0.194,0.194,0.323,0.316,0.258,0.194,0.387,0.323,0.226,0.269,0.524,0.276,0.538,0.407,0.581,0.714,0.767,0.645,0.71,0.633,0.318,0.273,0.357,0.613,0.633,0.613,0.414,0.345
"1",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"6",0.643,0.452,0.4,0.484,0.37,0.613,0.742,0.774,0.258,0.194,0.258,0.258,0.323,0.258,0,0.387,0.29,0.29,0.323,0.29,0.258,0.258,0.258,0.258,0.323,0.226,0.258,0.29,0.258,0.258,0.258,0.258,0.226,0.323,0.258,0.267,0.29,0.29,0.226,0.258,0.258,0.194,0.258,0.3,0.258,0.29,0.29,0.258,0.323,0.226,0.226,0.258,0.226,0.258,0.194,0.258,0.323,0.258,0.226,0.387,0.258,0.258,0.258,0.258,0.421,0.226,0.258,0.323,0.29,0.226,0.346,0.429,0.31,0.423,0.333,0.645,0.643,0.633,0.452,0.581,0.633,0.318,0.273,0.429,0.419,0.433,0.419,0.483,0.31
"33",0.679,0.29,0.433,0.29,0.407,0.645,0.613,0.645,0.516,0.484,0.258,0.452,0.484,0.484,0.387,0,0.516,0.516,0.581,0.452,0.484,0.484,0.484,0.452,0.452,0.452,0.548,0.516,0.484,0.452,0.484,0.548,0.452,0.484,0.516,0.467,0.548,0.516,0.452,0.548,0.516,0.516,0.548,0.4,0.548,0.516,0.484,0.516,0.419,0.484,0.484,0.484,0.484,0.484,0.323,0.484,0.516,0.516,0.452,0.613,0.484,0.484,0.484,0.548,0.579,0.484,0.484,0.484,0.581,0.452,0.538,0.524,0.517,0.423,0.407,0.613,0.679,0.633,0.484,0.548,0.6,0.545,0.591,0.5,0.452,0.467,0.452,0.379,0.586
"69",0.786,0.516,0.367,0.613,0.333,0.645,0.774,0.806,0.226,0.161,0.323,0.226,0.29,0.161,0.29,0.516,0,0.226,0.258,0.258,0.161,0.161,0.226,0.29,0.161,0.226,0.226,0.29,0.226,0.226,0.226,0.258,0.194,0.29,0.29,0.233,0.258,0.258,0.194,0.226,0.226,0.226,0.226,0.2,0.194,0.258,0.258,0.355,0.258,0.323,0.258,0.226,0.194,0.258,0.323,0.226,0.323,0.258,0.194,0.29,0.258,0.226,0.226,0.323,0.316,0.258,0.226,0.355,0.355,0.194,0.231,0.524,0.31,0.538,0.407,0.548,0.679,0.7,0.548,0.677,0.6,0.364,0.273,0.357,0.516,0.533,0.516,0.552,0.345
"88",0.714,0.484,0.433,0.613,0.37,0.516,0.742,0.71,0.161,0.194,0.323,0.258,0.323,0.194,0.29,0.516,0.226,0,0.323,0.161,0.194,0.194,0.194,0.258,0.355,0.194,0.194,0.129,0.161,0.194,0.226,0.226,0.161,0.194,0.129,0.2,0.226,0.355,0.161,0.226,0.258,0.194,0.194,0.267,0.161,0.194,0.226,0.29,0.258,0.323,0.194,0.129,0.258,0.161,0.323,0.194,0.258,0.258,0.161,0.258,0.194,0.129,0.194,0.323,0.316,0.355,0.226,0.258,0.29,0.194,0.231,0.476,0.345,0.538,0.407,0.581,0.607,0.567,0.516,0.548,0.6,0.318,0.318,0.5,0.484,0.5,0.484,0.483,0.31
"104",0.786,0.516,0.333,0.581,0.37,0.677,0.774,0.774,0.258,0.226,0.387,0.29,0.194,0.29,0.323,0.581,0.258,0.323,0,0.29,0.29,0.29,0.258,0.355,0.29,0.29,0.194,0.323,0.258,0.29,0.258,0.226,0.258,0.323,0.323,0.3,0.323,0.226,0.258,0.29,0.226,0.258,0.194,0.333,0.258,0.29,0.323,0.355,0.323,0.355,0.323,0.258,0.258,0.29,0.355,0.226,0.323,0.29,0.258,0.387,0.258,0.258,0.258,0.387,0.316,0.323,0.258,0.419,0.387,0.258,0.231,0.524,0.241,0.538,0.407,0.581,0.679,0.7,0.581,0.677,0.6,0.409,0.364,0.429,0.548,0.567,0.613,0.483,0.276
"131",0.786,0.452,0.4,0.645,0.333,0.613,0.806,0.806,0.065,0.097,0.226,0.097,0.226,0.097,0.29,0.452,0.258,0.161,0.29,0,0.097,0.097,0.097,0.161,0.323,0.097,0.097,0.097,0.065,0.065,0.129,0.129,0.065,0.065,0.097,0.1,0.129,0.323,0.065,0.161,0.161,0.097,0.097,0.2,0.097,0.065,0.097,0.258,0.129,0.29,0.129,0.032,0.161,0.065,0.355,0.097,0.097,0.161,0.065,0.161,0.065,0.032,0.032,0.194,0.263,0.29,0.129,0.29,0.258,0.097,0.192,0.524,0.241,0.538,0.444,0.452,0.571,0.667,0.548,0.645,0.533,0.364,0.182,0.5,0.516,0.533,0.516,0.517,0.241
"205",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"209",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"226",0.714,0.516,0.433,0.581,0.333,0.613,0.742,0.774,0.097,0.065,0.258,0.129,0.226,0.065,0.258,0.484,0.226,0.194,0.258,0.097,0.065,0.065,0,0.129,0.258,0.065,0.097,0.129,0.097,0.065,0.161,0.129,0.032,0.129,0.129,0.067,0.194,0.29,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.226,0.129,0.065,0.129,0.258,0.263,0.226,0.161,0.387,0.258,0.065,0.231,0.524,0.207,0.538,0.444,0.452,0.607,0.667,0.484,0.613,0.533,0.318,0.182,0.5,0.452,0.467,0.452,0.586,0.31
"323",0.679,0.484,0.5,0.516,0.407,0.677,0.774,0.806,0.161,0.129,0.29,0.161,0.323,0.129,0.258,0.452,0.29,0.258,0.355,0.161,0.129,0.129,0.129,0,0.355,0.129,0.194,0.161,0.161,0.129,0.161,0.194,0.097,0.161,0.129,0.033,0.258,0.387,0.097,0.258,0.194,0.194,0.194,0.233,0.194,0.194,0.161,0.29,0.29,0.258,0.097,0.129,0.194,0.129,0.355,0.129,0.258,0.226,0.097,0.29,0.194,0.129,0.194,0.258,0.421,0.258,0.161,0.419,0.226,0.129,0.308,0.429,0.172,0.423,0.407,0.484,0.607,0.667,0.484,0.613,0.533,0.318,0.136,0.429,0.452,0.467,0.452,0.552,0.379
"330",0.679,0.452,0.3,0.516,0.259,0.677,0.774,0.806,0.29,0.226,0.29,0.29,0.258,0.226,0.323,0.452,0.161,0.355,0.29,0.323,0.226,0.226,0.258,0.355,0,0.29,0.226,0.355,0.29,0.29,0.29,0.258,0.258,0.355,0.355,0.3,0.323,0.161,0.258,0.29,0.29,0.29,0.29,0.233,0.258,0.323,0.323,0.387,0.29,0.355,0.323,0.29,0.258,0.323,0.323,0.29,0.387,0.387,0.258,0.355,0.323,0.29,0.29,0.355,0.368,0.194,0.29,0.419,0.387,0.258,0.385,0.524,0.345,0.5,0.407,0.581,0.679,0.733,0.548,0.677,0.6,0.5,0.364,0.357,0.516,0.533,0.516,0.517,0.414
"440",0.714,0.516,0.467,0.581,0.37,0.581,0.742,0.774,0.097,0.065,0.258,0.129,0.258,0.065,0.226,0.452,0.226,0.194,0.29,0.097,0.065,0.065,0.065,0.129,0.29,0,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.161,0.29,0.032,0.161,0.129,0.097,0.129,0.167,0.129,0.129,0.097,0.29,0.194,0.258,0.097,0.065,0.129,0.097,0.29,0.065,0.161,0.226,0.032,0.226,0.129,0.065,0.129,0.226,0.316,0.258,0.161,0.387,0.29,0.065,0.231,0.524,0.207,0.5,0.444,0.484,0.607,0.633,0.516,0.613,0.567,0.364,0.182,0.429,0.484,0.5,0.484,0.586,0.31
"460",0.75,0.548,0.367,0.645,0.37,0.645,0.806,0.806,0.065,0.065,0.323,0.129,0.129,0.129,0.258,0.548,0.226,0.194,0.194,0.097,0.129,0.129,0.097,0.194,0.226,0.129,0,0.129,0.097,0.129,0.097,0.032,0.097,0.129,0.129,0.133,0.129,0.226,0.097,0.129,0.129,0.065,0.065,0.267,0.065,0.097,0.161,0.226,0.226,0.258,0.161,0.065,0.129,0.097,0.387,0.129,0.161,0.194,0.097,0.194,0.129,0.065,0.065,0.194,0.263,0.194,0.097,0.355,0.226,0.129,0.192,0.571,0.276,0.538,0.444,0.516,0.643,0.7,0.548,0.645,0.567,0.318,0.182,0.5,0.516,0.533,0.516,0.552,0.276
"489",0.714,0.516,0.433,0.645,0.37,0.581,0.774,0.742,0.097,0.129,0.29,0.194,0.258,0.129,0.29,0.516,0.29,0.129,0.323,0.097,0.129,0.129,0.129,0.161,0.355,0.129,0.129,0,0.097,0.129,0.161,0.129,0.097,0.129,0.032,0.133,0.194,0.355,0.097,0.194,0.194,0.129,0.129,0.267,0.129,0.129,0.161,0.258,0.226,0.29,0.097,0.065,0.194,0.065,0.355,0.129,0.194,0.226,0.097,0.226,0.129,0.065,0.129,0.226,0.368,0.29,0.161,0.387,0.258,0.129,0.231,0.524,0.241,0.538,0.444,0.548,0.571,0.633,0.548,0.581,0.567,0.364,0.182,0.5,0.516,0.533,0.516,0.552,0.31
