"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"517",0.75,0.484,0.433,0.613,0.333,0.581,0.774,0.774,0.065,0.097,0.258,0.161,0.194,0.097,0.258,0.484,0.226,0.161,0.258,0.065,0.097,0.097,0.097,0.161,0.29,0.097,0.097,0.097,0,0.097,0.065,0.129,0.065,0.097,0.097,0.1,0.161,0.29,0.065,0.097,0.161,0.097,0.097,0.2,0.097,0.097,0.129,0.226,0.161,0.258,0.129,0.032,0.097,0.065,0.323,0.097,0.161,0.226,0.065,0.194,0.065,0.032,0.097,0.226,0.263,0.258,0.065,0.323,0.226,0.032,0.154,0.476,0.207,0.5,0.407,0.484,0.607,0.633,0.516,0.613,0.533,0.318,0.136,0.429,0.484,0.5,0.484,0.517,0.241
"547",0.75,0.484,0.433,0.613,0.333,0.613,0.774,0.806,0.097,0.065,0.226,0.097,0.258,0.065,0.258,0.452,0.226,0.194,0.29,0.065,0.065,0.065,0.065,0.129,0.29,0.065,0.129,0.129,0.097,0,0.161,0.161,0.032,0.065,0.129,0.067,0.129,0.323,0.032,0.194,0.129,0.129,0.129,0.133,0.129,0.065,0.032,0.29,0.194,0.258,0.097,0.065,0.129,0.097,0.323,0.065,0.161,0.194,0.032,0.161,0.065,0.065,0.097,0.194,0.263,0.258,0.161,0.355,0.29,0.065,0.231,0.524,0.207,0.538,0.444,0.452,0.607,0.667,0.516,0.645,0.5,0.364,0.182,0.5,0.484,0.5,0.484,0.517,0.241
"614",0.714,0.484,0.433,0.613,0.407,0.645,0.839,0.839,0.097,0.097,0.323,0.129,0.194,0.161,0.258,0.484,0.226,0.226,0.258,0.129,0.161,0.161,0.161,0.161,0.29,0.161,0.097,0.161,0.065,0.161,0,0.129,0.129,0.129,0.161,0.133,0.161,0.29,0.129,0.097,0.161,0.097,0.097,0.233,0.097,0.129,0.194,0.258,0.226,0.29,0.194,0.097,0.097,0.129,0.387,0.161,0.194,0.226,0.129,0.226,0.129,0.097,0.097,0.226,0.316,0.258,0,0.323,0.258,0.097,0.192,0.571,0.276,0.462,0.444,0.548,0.679,0.7,0.581,0.677,0.6,0.364,0.182,0.429,0.548,0.567,0.548,0.483,0.276
"618",0.75,0.548,0.367,0.645,0.37,0.677,0.806,0.806,0.097,0.097,0.323,0.161,0.161,0.161,0.258,0.548,0.258,0.226,0.226,0.129,0.161,0.161,0.129,0.194,0.258,0.161,0.032,0.129,0.129,0.161,0.129,0,0.129,0.161,0.129,0.167,0.161,0.258,0.129,0.161,0.161,0.097,0.097,0.3,0.097,0.129,0.194,0.226,0.258,0.258,0.161,0.097,0.161,0.065,0.387,0.161,0.194,0.194,0.129,0.226,0.161,0.097,0.097,0.194,0.316,0.194,0.129,0.387,0.226,0.161,0.231,0.571,0.276,0.5,0.444,0.548,0.643,0.733,0.548,0.645,0.567,0.318,0.182,0.429,0.516,0.533,0.516,0.552,0.31
"796",0.714,0.484,0.433,0.581,0.333,0.581,0.742,0.774,0.065,0.032,0.226,0.097,0.226,0.032,0.226,0.452,0.194,0.161,0.258,0.065,0.032,0.032,0.032,0.097,0.258,0.032,0.097,0.097,0.065,0.032,0.129,0.129,0,0.097,0.097,0.033,0.161,0.29,0,0.161,0.097,0.097,0.097,0.167,0.097,0.097,0.065,0.258,0.194,0.226,0.065,0.032,0.097,0.065,0.29,0.032,0.161,0.194,0,0.194,0.097,0.032,0.097,0.226,0.263,0.226,0.129,0.355,0.258,0.032,0.192,0.476,0.172,0.5,0.407,0.452,0.607,0.633,0.484,0.613,0.533,0.318,0.136,0.429,0.452,0.467,0.452,0.552,0.276
"910",0.786,0.484,0.467,0.645,0.37,0.645,0.839,0.839,0.097,0.129,0.29,0.129,0.258,0.129,0.323,0.484,0.29,0.194,0.323,0.065,0.129,0.129,0.129,0.161,0.355,0.129,0.129,0.129,0.097,0.065,0.129,0.161,0.097,0,0.129,0.1,0.129,0.355,0.097,0.194,0.194,0.129,0.129,0.167,0.129,0.065,0.097,0.29,0.194,0.323,0.161,0.065,0.194,0.097,0.387,0.129,0.161,0.226,0.097,0.161,0.065,0.065,0.097,0.194,0.316,0.323,0.129,0.29,0.29,0.129,0.231,0.571,0.276,0.538,0.481,0.516,0.643,0.7,0.581,0.677,0.533,0.409,0.227,0.5,0.548,0.567,0.548,0.483,0.241
"927",0.714,0.516,0.433,0.645,0.37,0.581,0.774,0.742,0.097,0.129,0.29,0.194,0.258,0.129,0.258,0.516,0.29,0.129,0.323,0.097,0.129,0.129,0.129,0.129,0.355,0.129,0.129,0.032,0.097,0.129,0.161,0.129,0.097,0.129,0,0.133,0.194,0.355,0.097,0.194,0.194,0.129,0.129,0.267,0.129,0.129,0.161,0.226,0.226,0.258,0.065,0.065,0.194,0.065,0.355,0.129,0.194,0.194,0.097,0.226,0.129,0.065,0.129,0.194,0.368,0.258,0.161,0.387,0.226,0.129,0.231,0.476,0.241,0.538,0.444,0.548,0.571,0.633,0.548,0.581,0.567,0.318,0.136,0.5,0.516,0.533,0.516,0.552,0.31
"945",0.704,0.5,0.483,0.533,0.385,0.633,0.767,0.8,0.1,0.067,0.267,0.1,0.267,0.067,0.267,0.467,0.233,0.2,0.3,0.1,0.067,0.067,0.067,0.033,0.3,0.067,0.133,0.133,0.1,0.067,0.133,0.167,0.033,0.1,0.133,0,0.2,0.333,0.033,0.2,0.133,0.133,0.133,0.2,0.133,0.133,0.1,0.3,0.233,0.267,0.1,0.067,0.133,0.1,0.333,0.067,0.2,0.233,0.033,0.233,0.133,0.067,0.133,0.267,0.333,0.267,0.133,0.367,0.233,0.067,0.24,0.45,0.143,0.44,0.385,0.433,0.593,0.621,0.467,0.6,0.517,0.333,0.143,0.429,0.433,0.448,0.433,0.571,0.321
"999",0.786,0.548,0.433,0.677,0.407,0.645,0.839,0.839,0.129,0.129,0.355,0.161,0.258,0.194,0.29,0.548,0.258,0.226,0.323,0.129,0.194,0.194,0.194,0.258,0.323,0.161,0.129,0.194,0.161,0.129,0.161,0.161,0.161,0.129,0.194,0.2,0,0.29,0.161,0.129,0.194,0.097,0.129,0.2,0.097,0.097,0.161,0.323,0.161,0.355,0.226,0.129,0.194,0.161,0.387,0.194,0.161,0.226,0.161,0.161,0.129,0.129,0.097,0.161,0.316,0.29,0.161,0.355,0.323,0.194,0.269,0.619,0.345,0.538,0.481,0.548,0.643,0.7,0.613,0.677,0.567,0.455,0.273,0.5,0.581,0.6,0.581,0.517,0.276
"1175",0.679,0.452,0.233,0.484,0.259,0.645,0.774,0.774,0.29,0.258,0.323,0.323,0.258,0.323,0.29,0.516,0.258,0.355,0.226,0.323,0.323,0.323,0.29,0.387,0.161,0.29,0.226,0.355,0.29,0.323,0.29,0.258,0.29,0.355,0.355,0.333,0.29,0,0.29,0.258,0.258,0.226,0.226,0.2,0.258,0.323,0.355,0.419,0.226,0.419,0.355,0.29,0.29,0.323,0.226,0.258,0.323,0.387,0.29,0.387,0.323,0.29,0.29,0.355,0.368,0.226,0.29,0.419,0.419,0.29,0.346,0.524,0.31,0.346,0.333,0.548,0.643,0.667,0.516,0.613,0.6,0.545,0.409,0.214,0.484,0.5,0.548,0.517,0.345
"1242",0.714,0.484,0.433,0.581,0.333,0.581,0.742,0.774,0.065,0.032,0.226,0.097,0.226,0.032,0.226,0.452,0.194,0.161,0.258,0.065,0.032,0.032,0.032,0.097,0.258,0.032,0.097,0.097,0.065,0.032,0.129,0.129,0,0.097,0.097,0.033,0.161,0.29,0,0.161,0.097,0.097,0.097,0.167,0.097,0.097,0.065,0.258,0.194,0.226,0.065,0.032,0.097,0.065,0.29,0.032,0.161,0.194,0,0.194,0.097,0.032,0.097,0.226,0.263,0.226,0.129,0.355,0.258,0.032,0.192,0.476,0.172,0.5,0.407,0.452,0.607,0.633,0.484,0.613,0.533,0.318,0.136,0.429,0.452,0.467,0.452,0.552,0.276
"1243",0.75,0.548,0.433,0.645,0.407,0.613,0.806,0.806,0.129,0.129,0.355,0.194,0.226,0.194,0.258,0.548,0.226,0.226,0.29,0.161,0.194,0.194,0.194,0.258,0.29,0.161,0.129,0.194,0.097,0.194,0.097,0.161,0.161,0.194,0.194,0.2,0.129,0.258,0.161,0,0.194,0.097,0.129,0.233,0.065,0.161,0.226,0.29,0.194,0.323,0.226,0.129,0.129,0.161,0.355,0.194,0.194,0.258,0.161,0.194,0.161,0.129,0.129,0.226,0.263,0.258,0.097,0.355,0.29,0.129,0.231,0.571,0.31,0.5,0.444,0.548,0.643,0.667,0.581,0.645,0.6,0.409,0.227,0.429,0.548,0.567,0.548,0.552,0.31
"1245",0.679,0.484,0.367,0.581,0.37,0.581,0.742,0.774,0.129,0.065,0.323,0.129,0.258,0.129,0.258,0.516,0.226,0.258,0.226,0.161,0.129,0.129,0.129,0.194,0.29,0.129,0.129,0.194,0.161,0.129,0.161,0.161,0.097,0.194,0.194,0.133,0.194,0.258,0.097,0.194,0,0.129,0.065,0.267,0.129,0.161,0.161,0.323,0.29,0.29,0.161,0.129,0.129,0.161,0.323,0.065,0.194,0.226,0.097,0.258,0.194,0.129,0.129,0.258,0.211,0.258,0.161,0.419,0.323,0.129,0.154,0.524,0.207,0.462,0.37,0.452,0.607,0.633,0.484,0.613,0.533,0.364,0.182,0.357,0.452,0.467,0.516,0.552,0.276
"1270",0.714,0.548,0.433,0.613,0.407,0.613,0.806,0.806,0.065,0.065,0.323,0.129,0.194,0.129,0.194,0.516,0.226,0.194,0.258,0.097,0.129,0.129,0.129,0.194,0.29,0.097,0.065,0.129,0.097,0.129,0.097,0.097,0.097,0.129,0.129,0.133,0.097,0.226,0.097,0.097,0.129,0,0.065,0.2,0.065,0.097,0.161,0.258,0.161,0.29,0.161,0.065,0.129,0.097,0.323,0.129,0.129,0.194,0.097,0.194,0.129,0.065,0.065,0.161,0.316,0.258,0.097,0.355,0.258,0.129,0.192,0.571,0.276,0.462,0.444,0.548,0.607,0.633,0.581,0.613,0.6,0.364,0.182,0.357,0.548,0.567,0.548,0.552,0.276
"1315",0.714,0.484,0.367,0.613,0.333,0.581,0.774,0.774,0.065,0.065,0.323,0.129,0.194,0.129,0.258,0.548,0.226,0.194,0.194,0.097,0.129,0.129,0.129,0.194,0.29,0.129,0.065,0.129,0.097,0.129,0.097,0.097,0.097,0.129,0.129,0.133,0.129,0.226,0.097,0.129,0.065,0.065,0,0.267,0.065,0.097,0.161,0.258,0.226,0.29,0.161,0.065,0.129,0.097,0.323,0.065,0.129,0.194,0.097,0.194,0.129,0.065,0.065,0.194,0.211,0.258,0.097,0.355,0.258,0.129,0.115,0.524,0.207,0.462,0.37,0.484,0.607,0.633,0.516,0.613,0.533,0.364,0.182,0.357,0.484,0.5,0.548,0.483,0.207
"1319",0.741,0.433,0.379,0.5,0.308,0.633,0.767,0.8,0.233,0.2,0.233,0.2,0.3,0.2,0.3,0.4,0.2,0.267,0.333,0.2,0.2,0.2,0.2,0.233,0.233,0.167,0.267,0.267,0.2,0.133,0.233,0.3,0.167,0.167,0.267,0.2,0.2,0.2,0.167,0.233,0.267,0.2,0.267,0,0.233,0.2,0.167,0.4,0.1,0.367,0.233,0.2,0.233,0.233,0.233,0.2,0.267,0.333,0.167,0.267,0.167,0.2,0.233,0.3,0.389,0.3,0.233,0.367,0.4,0.167,0.36,0.55,0.25,0.4,0.423,0.5,0.63,0.655,0.567,0.633,0.552,0.524,0.333,0.286,0.533,0.552,0.533,0.5,0.357
"1352",0.75,0.516,0.4,0.645,0.37,0.613,0.806,0.806,0.065,0.065,0.323,0.129,0.194,0.129,0.258,0.548,0.194,0.161,0.258,0.097,0.129,0.129,0.129,0.194,0.258,0.129,0.065,0.129,0.097,0.129,0.097,0.097,0.097,0.129,0.129,0.133,0.097,0.258,0.097,0.065,0.129,0.065,0.065,0.233,0,0.097,0.161,0.258,0.194,0.29,0.161,0.065,0.129,0.097,0.355,0.129,0.161,0.194,0.097,0.129,0.129,0.065,0.065,0.194,0.211,0.226,0.097,0.323,0.258,0.129,0.192,0.524,0.276,0.5,0.407,0.516,0.643,0.667,0.548,0.645,0.567,0.364,0.182,0.429,0.516,0.533,0.516,0.517,0.276
"1424",0.75,0.516,0.433,0.677,0.37,0.645,0.839,0.839,0.032,0.097,0.29,0.129,0.226,0.129,0.29,0.516,0.258,0.194,0.29,0.065,0.129,0.129,0.129,0.194,0.323,0.129,0.097,0.129,0.097,0.065,0.129,0.129,0.097,0.065,0.129,0.133,0.097,0.323,0.097,0.161,0.161,0.097,0.097,0.2,0.097,0,0.097,0.226,0.194,0.258,0.161,0.065,0.161,0.097,0.387,0.129,0.129,0.194,0.097,0.097,0.065,0.065,0.065,0.161,0.263,0.29,0.129,0.29,0.226,0.129,0.192,0.571,0.276,0.538,0.444,0.516,0.643,0.7,0.581,0.677,0.533,0.364,0.182,0.5,0.548,0.567,0.548,0.483,0.207
"1448",0.75,0.516,0.467,0.645,0.37,0.613,0.774,0.806,0.129,0.097,0.258,0.129,0.29,0.097,0.29,0.484,0.258,0.226,0.323,0.097,0.097,0.097,0.097,0.161,0.323,0.097,0.161,0.161,0.129,0.032,0.194,0.194,0.065,0.097,0.161,0.1,0.161,0.355,0.065,0.226,0.161,0.161,0.161,0.167,0.161,0.097,0,0.323,0.226,0.29,0.129,0.097,0.161,0.129,0.355,0.097,0.194,0.226,0.065,0.194,0.097,0.097,0.129,0.226,0.316,0.29,0.194,0.355,0.323,0.097,0.269,0.524,0.241,0.577,0.481,0.452,0.607,0.667,0.516,0.645,0.5,0.364,0.182,0.5,0.484,0.5,0.484,0.552,0.276
"1505",0.643,0.581,0.533,0.613,0.37,0.71,0.806,0.806,0.194,0.258,0.29,0.323,0.226,0.258,0.258,0.516,0.355,0.29,0.355,0.258,0.258,0.258,0.258,0.29,0.387,0.29,0.226,0.258,0.226,0.29,0.258,0.226,0.258,0.29,0.226,0.3,0.323,0.419,0.258,0.29,0.323,0.258,0.258,0.4,0.258,0.226,0.323,0,0.355,0.032,0.258,0.226,0.29,0.226,0.419,0.29,0.323,0.323,0.258,0.258,0.226,0.226,0.258,0.29,0.316,0.29,0.258,0.355,0.097,0.258,0.269,0.476,0.345,0.538,0.481,0.645,0.714,0.767,0.581,0.677,0.667,0.182,0.227,0.5,0.548,0.567,0.548,0.483,0.379
"1573",0.786,0.419,0.367,0.548,0.296,0.613,0.774,0.774,0.194,0.226,0.226,0.226,0.258,0.226,0.323,0.419,0.258,0.258,0.323,0.129,0.226,0.226,0.226,0.29,0.29,0.194,0.226,0.226,0.161,0.194,0.226,0.258,0.194,0.194,0.226,0.233,0.161,0.226,0.194,0.194,0.29,0.161,0.226,0.1,0.194,0.194,0.226,0.355,0,0.387,0.258,0.161,0.258,0.194,0.258,0.226,0.194,0.29,0.194,0.258,0.161,0.161,0.161,0.29,0.368,0.323,0.226,0.355,0.355,0.194,0.308,0.524,0.276,0.423,0.407,0.484,0.571,0.633,0.581,0.613,0.567,0.5,0.318,0.357,0.548,0.567,0.548,0.517,0.345
"1611",0.607,0.581,0.533,0.581,0.37,0.71,0.774,0.806,0.226,0.226,0.258,0.29,0.258,0.226,0.226,0.484,0.323,0.323,0.355,0.29,0.226,0.226,0.226,0.258,0.355,0.258,0.258,0.29,0.258,0.258,0.29,0.258,0.226,0.323,0.258,0.267,0.355,0.419,0.226,0.323,0.29,0.29,0.29,0.367,0.29,0.258,0.29,0.032,0.387,0,0.226,0.258,0.258,0.258,0.387,0.258,0.355,0.323,0.226,0.29,0.258,0.258,0.29,0.323,0.316,0.258,0.29,0.387,0.129,0.226,0.308,0.476,0.31,0.538,0.481,0.613,0.714,0.767,0.548,0.677,0.667,0.182,0.227,0.5,0.516,0.533,0.516,0.517,0.414
"1646",0.714,0.516,0.433,0.613,0.37,0.613,0.742,0.774,0.129,0.097,0.258,0.161,0.29,0.097,0.226,0.484,0.258,0.194,0.323,0.129,0.097,0.097,0.097,0.097,0.323,0.097,0.161,0.097,0.129,0.097,0.194,0.161,0.065,0.161,0.065,0.1,0.226,0.355,0.065,0.226,0.161,0.161,0.161,0.233,0.161,0.161,0.129,0.258,0.258,0.226,0,0.097,0.161,0.097,0.323,0.097,0.226,0.194,0.065,0.258,0.161,0.097,0.161,0.226,0.368,0.226,0.194,0.419,0.258,0.097,0.269,0.476,0.207,0.538,0.444,0.516,0.607,0.667,0.516,0.613,0.567,0.318,0.136,0.5,0.484,0.5,0.484,0.586,0.345
"1734",0.75,0.484,0.433,0.613,0.333,0.581,0.774,0.774,0.032,0.065,0.258,0.129,0.194,0.065,0.258,0.484,0.226,0.129,0.258,0.032,0.065,0.065,0.065,0.129,0.29,0.065,0.065,0.065,0.032,0.065,0.097,0.097,0.032,0.065,0.065,0.067,0.129,0.29,0.032,0.129,0.129,0.065,0.065,0.2,0.065,0.065,0.097,0.226,0.161,0.258,0.097,0,0.129,0.032,0.323,0.065,0.129,0.194,0.032,0.161,0.065,0,0.065,0.194,0.263,0.258,0.097,0.323,0.226,0.065,0.154,0.476,0.207,0.5,0.407,0.484,0.607,0.633,0.516,0.613,0.533,0.318,0.136,0.429,0.484,0.5,0.484,0.517,0.241
"1735",0.75,0.548,0.433,0.613,0.407,0.645,0.774,0.806,0.129,0.065,0.29,0.129,0.226,0.129,0.226,0.484,0.194,0.258,0.258,0.161,0.129,0.129,0.129,0.194,0.258,0.129,0.129,0.194,0.097,0.129,0.097,0.161,0.097,0.194,0.194,0.133,0.194,0.29,0.097,0.129,0.129,0.129,0.129,0.233,0.129,0.161,0.161,0.29,0.258,0.258,0.161,0.129,0,0.161,0.355,0.129,0.226,0.226,0.097,0.258,0.161,0.129,0.129,0.258,0.316,0.226,0.097,0.387,0.29,0.065,0.154,0.476,0.241,0.5,0.444,0.484,0.679,0.667,0.516,0.645,0.6,0.364,0.182,0.5,0.484,0.5,0.484,0.517,0.31
"1738",0.75,0.484,0.433,0.613,0.333,0.613,0.774,0.774,0.065,0.097,0.258,0.161,0.226,0.097,0.258,0.484,0.258,0.161,0.29,0.065,0.097,0.097,0.097,0.129,0.323,0.097,0.097,0.065,0.065,0.097,0.129,0.065,0.065,0.097,0.065,0.1,0.161,0.323,0.065,0.161,0.161,0.097,0.097,0.233,0.097,0.097,0.129,0.226,0.194,0.258,0.097,0.032,0.161,0,0.323,0.097,0.161,0.194,0.065,0.194,0.097,0.032,0.097,0.194,0.316,0.258,0.129,0.355,0.226,0.097,0.192,0.476,0.207,0.462,0.407,0.516,0.607,0.667,0.516,0.613,0.533,0.318,0.136,0.357,0.484,0.5,0.484,0.517,0.276
"1739",0.607,0.258,0.3,0.323,0.148,0.548,0.613,0.645,0.355,0.323,0.226,0.387,0.419,0.323,0.194,0.323,0.323,0.323,0.355,0.355,0.323,0.323,0.323,0.355,0.323,0.29,0.387,0.355,0.323,0.323,0.387,0.387,0.29,0.387,0.355,0.333,0.387,0.226,0.29,0.355,0.323,0.323,0.323,0.233,0.355,0.387,0.355,0.419,0.258,0.387,0.323,0.323,0.355,0.323,0,0.258,0.387,0.419,0.29,0.452,0.355,0.323,0.387,0.419,0.421,0.323,0.387,0.419,0.419,0.29,0.385,0.333,0.276,0.308,0.185,0.548,0.536,0.567,0.323,0.452,0.5,0.5,0.455,0.286,0.29,0.3,0.355,0.379,0.379
"1827",0.679,0.452,0.4,0.548,0.296,0.548,0.71,0.742,0.097,0.065,0.258,0.129,0.258,0.065,0.258,0.484,0.226,0.194,0.226,0.097,0.065,0.065,0.065,0.129,0.29,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.258,0.032,0.194,0.065,0.129,0.065,0.2,0.129,0.129,0.097,0.29,0.226,0.258,0.097,0.065,0.129,0.097,0.258,0,0.161,0.226,0.032,0.226,0.129,0.065,0.129,0.258,0.211,0.258,0.161,0.387,0.29,0.065,0.154,0.476,0.138,0.462,0.37,0.419,0.571,0.6,0.452,0.581,0.5,0.364,0.182,0.357,0.419,0.433,0.484,0.517,0.241
"1836",0.786,0.516,0.433,0.677,0.407,0.645,0.839,0.839,0.129,0.161,0.323,0.161,0.29,0.194,0.323,0.516,0.323,0.258,0.323,0.097,0.194,0.194,0.194,0.258,0.387,0.161,0.161,0.194,0.161,0.161,0.194,0.194,0.161,0.161,0.194,0.2,0.161,0.323,0.161,0.194,0.194,0.129,0.129,0.267,0.161,0.129,0.194,0.323,0.194,0.355,0.226,0.129,0.226,0.161,0.387,0.161,0,0.226,0.161,0.226,0.161,0.129,0.097,0.226,0.316,0.355,0.194,0.355,0.323,0.194,0.231,0.619,0.31,0.538,0.481,0.516,0.607,0.7,0.613,0.677,0.6,0.455,0.273,0.5,0.581,0.6,0.613,0.552,0.276
"1837",0.821,0.484,0.367,0.71,0.407,0.645,0.839,0.839,0.194,0.161,0.323,0.161,0.323,0.226,0.258,0.516,0.258,0.258,0.29,0.161,0.226,0.226,0.226,0.226,0.387,0.226,0.194,0.226,0.226,0.194,0.226,0.194,0.194,0.226,0.194,0.233,0.226,0.387,0.194,0.258,0.226,0.194,0.194,0.333,0.194,0.194,0.226,0.323,0.29,0.323,0.194,0.194,0.226,0.194,0.419,0.226,0.226,0,0.194,0.29,0.226,0.194,0.129,0.226,0.316,0.29,0.226,0.355,0.323,0.226,0.269,0.524,0.345,0.538,0.481,0.548,0.607,0.7,0.613,0.677,0.567,0.318,0.136,0.571,0.581,0.6,0.581,0.552,0.31
